ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor;WKAPot;WKAVor
PR3_LAU_001;Herzogtum Lauenburg;Herzogtum Lauenburg;Bliestorf, Kastorf, Siebenbäumen;Bliestorf, Kastorf, Siebenbäumen;229,9;86,4;WKA in Betrieb;WKA in Betrieb
PR3_LAU_002;Herzogtum Lauenburg;-;Rondeshagen;-;28,1;-;-;-
PR3_LAU_003;Herzogtum Lauenburg;-;Berkenthin;-;72,2;-;-;-
PR3_LAU_005;Herzogtum Lauenburg;-;Groß Boden, Schürensöhlen, Steinhorst;-;188,7;-;-;-
PR3_LAU_006;Herzogtum Lauenburg;Herzogtum Lauenburg;Lasbek, Stubben;Lasbek;131,8;106,2;WKA in Betrieb;WKA in Betrieb
PR3_LAU_009;Herzogtum Lauenburg;-;Buchholz, Einhaus;-;23,5;-;-;-
PR3_LAU_011;Herzogtum Lauenburg;-;Düchelsdorf, Göldenitz, Klinkrade, Niendorfbei Berkenthin, Sierksrade;-;156,8;-;-;-
PR3_LAU_012;Herzogtum Lauenburg;-;Behlendorf;-;24,6;-;-;-
PR3_LAU_013;Herzogtum Lauenburg;-;Kulpin;-;42,6;-;-;-
PR3_LAU_014;Herzogtum Lauenburg;-;Schiphorst, Stubben;-;76,8;-;WKA in Betrieb;-
PR3_LAU_015;Herzogtum Lauenburg;-;Sandesneben, Schiphorst, Steinhorst;-;114,7;-;-;-
PR3_LAU_017;Herzogtum Lauenburg;-;Behlendorf;-;31,8;-;-;-
PR3_LAU_018;Herzogtum Lauenburg;-;Duvensee, Kühsen, Niendorf bei Berkenthin;-;62,6;-;-;-
PR3_LAU_019;Herzogtum Lauenburg;-;Behlendorf;-;40,4;-;-;-
PR3_LAU_020;Herzogtum Lauenburg;-;Fredeburg, Giesensdorf, Ratzeburg;-;22,8;-;-;-
PR3_LAU_021;Herzogtum Lauenburg;-;Behlendorf, Lankau;-;55,7;-;-;-
PR3_LAU_022;Herzogtum Lauenburg;-;Lüchow, Sirksfelde;-;74,6;-;-;-
PR3_LAU_023;Herzogtum Lauenburg;-;Schmilau;-;95,0;-;-;-
