ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor
PR2_PLO_001;Plön;Plön;Bendfeld, Schwartbuck, Stakendorf;Bendfeld, Schwartbuck, Stakendorf;179,2;60,6
PR2_PLO_002;Plön;Plön;Fahren, Fiefbergen, Passade;Fahren, Fiefbergen, Passade;87,1;72,6
PR2_PLO_003;Plön;-;Heikendorf;-;23,7;-
PR2_PLO_004;Plön;-;Köhn, Schwartbuck;-;82,2;-
PR2_PLO_005;Plön;Plön;Heikendorf;Heikendorf;20,5;20,5
PR2_PLO_006;Plön;Plön;Bendfeld, Fargau-Pratjau, Höhndorf,Krummbek, Stoltenberg;Krummbek;351,9;27,4
PR2_PLO_007;Plön;-;Fahren, Höhndorf, Stoltenberg;-;19,5;-
PR2_PLO_008;Plön;-;Heikendorf, Probsteierhagen;-;40,8;-
PR2_PLO_009;Plön;-;Köhn;-;54,1;-
PR2_PLO_010;Plön;-;Fargau-Pratjau;-;102,8;-
PR2_PLO_011;Plön;-;Fargau-Pratjau, Stoltenberg;-;60,3;-
PR2_PLO_028;Plön;-;Bosau, Bösdorf;-;110,2;-
PR2_PLO_029;Plön;-;Bosau, Bösdorf;-;107,0;-
PR2_PLO_030;Plön;Plön;Rendswühren, Ruhwinkel, Schillsdorf;Rendswühren, Ruhwinkel, Schillsdorf;271,0;168,6
PR2_PLO_031;Plön;-;Schillsdorf;-;48,1;-
PR2_PLO_032;Plön;Plön;Bönebüttel, Rendswühren;Bönebüttel;213,1;51,6
PR2_PLO_302;Plön;-;Großharrie, Negenharrie;-;150,8;-
PR2_PLO_303;Plön;Plön;Bönebüttel, Großharrie, Schillsdorf, Tasdorf;Bönebüttel, Großharrie, Schillsdorf,Tasdorf;189,7;131,7
PR2_PLO_304;Plön;-;Bönebüttel;-;26,9;-
PR2_PLO_305;Plön;-;Bönebüttel;-;32,3;-
PR2_PLO_306;Plön;Plön;Bönebüttel, Groß Kummerfeld;Bönebüttel;103,6;24,9
PR2_PLO_501;Plön;-;Krummbek, Stakendorf;-;16,1;-
PR2_PLO_502;Plön;-;Großharrie, Schillsdorf;-;33,7;-
PR3_PLO_012;Plön;-;Wangels;-;26,8;-
