ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor;WKAPot;WKAVor
PR2_RDE_001;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Dörphof;Dörphof;101,9;51,6;-;-
PR2_RDE_002;Rendsburg-Eckernförde;-;Damp, Dörphof, Thumby;-;114,7;-;-;-
PR2_RDE_003;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Thumby;Thumby;146,5;64,8;-;-
PR2_RDE_004;Rendsburg-Eckernförde;-;Holzdorf;-;44,6;-;-;-
PR2_RDE_005;Rendsburg-Eckernförde;-;Thumby;-;35,8;-;-;-
PR2_RDE_006;Rendsburg-Eckernförde;-;Damp, Waabs;-;95,4;-;-;-
PR2_RDE_007;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Damp, Waabs;Waabs;39,7;36,5;-;-
PR2_RDE_008;Rendsburg-Eckernförde;-;Rieseby;-;131,5;-;-;-
PR2_RDE_009;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Holzdorf, Loose, Rieseby;Loose, Rieseby;144,5;100,8;-;-
PR2_RDE_010;Rendsburg-Eckernförde;-;Kosel, Rieseby;-;60,4;-;-;-
PR2_RDE_011;Rendsburg-Eckernförde;-;Loose, Rieseby;-;67,6;-;-;-
PR2_RDE_012;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Loose, Waabs;Loose, Waabs;368,9;166,9;-;-
PR2_RDE_013;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Rieseby;Rieseby;21,4;5,7;-;-
PR2_RDE_014;Rendsburg-Eckernförde;-;Barkelsby, Loose;-;126,8;-;-;-
PR2_RDE_015;Rendsburg-Eckernförde;-;Barkelsby, Loose;-;91,2;-;-;-
PR2_RDE_016;Rendsburg-Eckernförde;-;Barkelsby;-;30,9;-;-;-
PR2_RDE_017;Rendsburg-Eckernförde;-;Schwedeneck;-;142,4;-;-;-
PR2_RDE_019;Rendsburg-Eckernförde;-;Osdorf, Schwedeneck;-;18,1;-;-;-
PR2_RDE_020;Rendsburg-Eckernförde;-;Dänischenhagen, Schwedeneck;-;76,3;-;-;-
PR2_RDE_021;Rendsburg-Eckernförde;-;Neudorf-Bornstein, Osdorf;-;49,6;-;-;-
PR2_RDE_022;Rendsburg-Eckernförde;-;Brekendorf;-;128,9;-;-;-
PR2_RDE_023;Rendsburg-Eckernförde;-;Neudorf-Bornstein;-;72,8;-;-;-
PR2_RDE_024;Rendsburg-Eckernförde;-;Goosefeld, Groß Wittensee;-;43,7;-;-;-
PR2_RDE_025;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Altenhof, Goosefeld, Holtsee;Altenhof, Holtsee;215,3;161,6;WKA in Betrieb;WKA in Betrieb
PR2_RDE_026;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Gettorf, Osdorf;Gettorf, Osdorf;41,7;16,0;-;-
PR2_RDE_027;Rendsburg-Eckernförde;-;Groß Wittensee;-;15,0;-;-;-
PR2_RDE_028;Rendsburg-Eckernförde;-;Gettorf, Lindau, Neudorf-Bornstein;-;49,9;-;-;-
PR2_RDE_029;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Owschlag;Owschlag;125,5;81,2;WKA in Betrieb;WKA in Betrieb
PR2_RDE_030;Rendsburg-Eckernförde;-;Haby, Holtsee;-;51,8;-;-;-
PR2_RDE_032;Rendsburg-Eckernförde;-;Groß Wittensee, Klein Wittensee;-;44,8;-;-;-
PR2_RDE_033;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Felm, Tüttendorf;Felm, Tüttendorf;133,0;117,3;WKA in Betrieb;WKA in Betrieb
PR2_RDE_034;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Holtsee, Lindau, Neudorf-Bornstein;Holtsee, Lindau, Neudorf-Bornstein;67,0;56,0;WKA in Betrieb;WKA in Betrieb
PR2_RDE_035;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Holtsee;Holtsee;90,8;74,9;-;-
PR2_RDE_036;Rendsburg-Eckernförde;-;Holtsee;-;36,0;-;-;-
PR2_RDE_037;Rendsburg-Eckernförde;-;Tüttendorf;-;32,9;-;-;-
PR2_RDE_038;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Alt Duvenstedt, Owschlag;Owschlag;266,0;56,7;-;-
PR2_RDE_039;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Sehestedt;Sehestedt;33,6;32,6;WKA in Betrieb;WKA in Betrieb
PR2_RDE_040;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Neuwittenbek, Tüttendorf;Neuwittenbek, Tüttendorf;85,1;42,9;-;-
PR2_RDE_042;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Holtsee, Lindau;Holtsee, Lindau;146,8;88,9;-;-
PR2_RDE_043;Rendsburg-Eckernförde;-;Lindau, Schinkel;-;17,1;-;-;-
PR2_RDE_044;Rendsburg-Eckernförde;-;Owschlag;-;78,1;-;-;-
PR2_RDE_045;Rendsburg-Eckernförde;-;Bünsdorf;-;63,4;-;-;-
PR2_RDE_046;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Bovenau;Bovenau;279,8;152,0;WKA in Betrieb;WKA in Betrieb
PR2_RDE_047;Rendsburg-Eckernförde;-;Alt Duvenstedt, Borgstedt, Neu Duvenstedt,Rickert;-;129,6;-;-;-
PR2_RDE_048;Rendsburg-Eckernförde;-;Borgstedt;-;18,0;-;-;-
PR2_RDE_049;Rendsburg-Eckernförde;-;Alt Duvenstedt, Rickert;-;93,2;-;-;-
PR2_RDE_050;Rendsburg-Eckernförde;-;Bovenau;-;108,1;-;-;-
PR2_RDE_051;Rendsburg-Eckernförde;-;Bovenau, Krummwisch;-;28,1;-;-;-
