ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor;WKAPot;WKAVor
PR1_SLF_001;Schleswig-Flensburg;Schleswig-Flensburg;Böxlund, Jardelund, Weesby;Böxlund, Jardelund, Weesby;159,6;159,6;-;-
PR1_SLF_002;Schleswig-Flensburg;-;Böxlund, Weesby;-;34,4;-;-;-
PR1_SLF_003;Schleswig-Flensburg;Schleswig-Flensburg;Jardelund;Jardelund;264,6;198,8;-;-
PR1_SLF_004;Schleswig-Flensburg;Schleswig-Flensburg;Weesby;Weesby;25,1;24,8;WKA in Betrieb;WKA in Betrieb
PR1_SLF_005;Schleswig-Flensburg;-;Weesby;-;71,3;-;-;-
PR1_SLF_006;Schleswig-Flensburg;-;Langballig, Munkbrarup, Ringsberg;-;43,4;-;-;-
PR1_SLF_009;Schleswig-Flensburg;-;Handewitt;-;65,5;-;-;-
PR1_SLF_011;Schleswig-Flensburg;Schleswig-Flensburg;Holt, Medelby, Osterby, Schafflund, Wallsbüll;Medelby, Osterby;374,8;96,2;WKA in Betrieb;WKA in Betrieb
PR1_SLF_012;Schleswig-Flensburg;Schleswig-Flensburg;Handewitt, Wallsbüll;Handewitt, Wallsbüll;40,6;40,6;-;-
PR1_SLF_013;Schleswig-Flensburg;-;Maasbüll;-;15,9;-;-;-
PR1_SLF_014;Schleswig-Flensburg;-;Handewitt, Wallsbüll;-;56,6;-;-;-
PR1_SLF_015;Schleswig-Flensburg;-;Maasbüll;-;16,1;-;-;-
PR1_SLF_017;Schleswig-Flensburg;Schleswig-Flensburg;Grundhof, Husby;Grundhof;29,7;23,3;-;-
PR1_SLF_018;Schleswig-Flensburg;-;Handewitt, Wallsbüll;-;131,3;-;-;-
PR1_SLF_019;Schleswig-Flensburg;Schleswig-Flensburg;Dollerup;Dollerup;32,9;32,9;WKA in Betrieb;WKA in Betrieb
PR1_SLF_020;Schleswig-Flensburg;-;Hürup, Tastrup;-;61,5;-;-;-
PR1_SLF_021;Schleswig-Flensburg;Schleswig-Flensburg;Schafflund;Schafflund;83,9;83,9;WKA in Betrieb;WKA in Betrieb
PR1_SLF_022;Schleswig-Flensburg;-;Hörup;-;43,4;-;-;-
PR1_SLF_023;Schleswig-Flensburg;-;Hürup;-;103,4;-;-;-
PR1_SLF_025;Schleswig-Flensburg;-;Sörup;-;29,6;-;-;-
PR1_SLF_026;Schleswig-Flensburg;-;Kronsgaard;-;26,9;-;-;-
PR1_SLF_027;Schleswig-Flensburg;-;Hörup, Nordhackstedt, Schafflund;-;161,3;-;-;-
PR1_SLF_028;Schleswig-Flensburg;Schleswig-Flensburg;Meyn, Nordhackstedt;Meyn, Nordhackstedt;46,2;46,2;WKA in Betrieb;WKA in Betrieb
PR1_SLF_029;Schleswig-Flensburg;Schleswig-Flensburg;Großenwiehe, Handewitt, Lindewitt, Meyn;Großenwiehe, Handewitt, Meyn;406,0;316,5;-;-
PR1_SLF_030;Schleswig-Flensburg;-;Stangheck;-;42,5;-;-;-
PR1_SLF_031;Schleswig-Flensburg;Schleswig-Flensburg;Sörup;Sörup;87,5;67,5;-;-
PR1_SLF_032;Schleswig-Flensburg;-;Niesgrau, Sterup;-;31,0;-;-;-
PR1_SLF_033;Schleswig-Flensburg;-;Lindewitt;-;34,5;-;-;-
PR1_SLF_034;Schleswig-Flensburg;Schleswig-Flensburg;Lindewitt, Nordhackstedt;Lindewitt, Nordhackstedt;62,2;45,4;WKA in Betrieb;WKA in Betrieb
PR1_SLF_035;Schleswig-Flensburg;Schleswig-Flensburg;Hörup, Nordhackstedt;Hörup, Nordhackstedt;175,5;175,5;WKA in Betrieb;WKA in Betrieb
PR1_SLF_036;Schleswig-Flensburg;-;Freienwill, Oeversee;-;88,5;-;-;-
PR1_SLF_037;Schleswig-Flensburg;-;Handewitt, Oeversee;-;95,3;-;-;-
PR1_SLF_038;Schleswig-Flensburg;-;Handewitt, Oeversee;-;79,8;-;-;-
PR1_SLF_039;Schleswig-Flensburg;Schleswig-Flensburg;Großenwiehe, Handewitt;Großenwiehe, Handewitt;350,6;165,5;-;-
PR1_SLF_040;Schleswig-Flensburg;Schleswig-Flensburg;Hörup, Lindewitt;Hörup;154,7;72,2;-;-
PR1_SLF_041;Schleswig-Flensburg;-;Großenwiehe, Lindewitt;-;29,0;-;-;-
PR1_SLF_042;Schleswig-Flensburg;-;Stangheck, Stoltebüll;-;24,3;-;-;-
PR1_SLF_043;Schleswig-Flensburg;Schleswig-Flensburg;Lindewitt, Nordhackstedt;Lindewitt, Nordhackstedt;101,2;49,9;WKA in Betrieb;WKA in Betrieb
PR1_SLF_044;Schleswig-Flensburg;-;Großsolt, Mittelangeln;-;31,1;-;-;-
PR1_SLF_045;Schleswig-Flensburg;-;Lindewitt;-;58,2;-;-;-
PR1_SLF_046;Schleswig-Flensburg;-;Lindewitt;-;85,9;-;-;-
PR1_SLF_047;Schleswig-Flensburg;-;Sörup;-;21,8;-;-;-
PR1_SLF_048;Schleswig-Flensburg;-;Handewitt, Wanderup;-;47,9;-;-;-
PR1_SLF_049;Schleswig-Flensburg;-;Ahneby, Sörup, Sterup;-;40,8;-;-;-
PR1_SLF_051;Schleswig-Flensburg;Schleswig-Flensburg;Hasselberg, Rabenholz;Hasselberg, Rabenholz;21,7;21,7;-;-
PR1_SLF_052;Schleswig-Flensburg;Schleswig-Flensburg;Lindewitt;Lindewitt;103,2;45,1;-;WKA in Betrieb
PR1_SLF_053;Schleswig-Flensburg;-;Großenwiehe, Wanderup;-;53,4;-;-;-
PR1_SLF_054;Schleswig-Flensburg;-;Handewitt, Oeversee, Tarp, Wanderup;-;36,0;-;-;-
PR1_SLF_055;Schleswig-Flensburg;-;Großenwiehe, Wanderup;-;63,5;-;-;-
PR1_SLF_056;Schleswig-Flensburg;-;Mohrkirch, Rügge, Sterup;-;62,9;-;-;-
PR1_SLF_058;Schleswig-Flensburg;Schleswig-Flensburg;Großenwiehe, Wanderup;Großenwiehe, Wanderup;357,4;329,0;-;-
PR1_SLF_059;Schleswig-Flensburg;Schleswig-Flensburg;Jerrishoe, Wanderup;Jerrishoe;233,7;107,4;WKA in Betrieb;WKA in Betrieb
PR1_SLF_060;Schleswig-Flensburg;Schleswig-Flensburg;Großenwiehe, Lindewitt;Großenwiehe, Lindewitt;75,6;43,4;WKA in Betrieb;WKA in Betrieb
PR1_SLF_061;Schleswig-Flensburg;-;Oersberg, Rabenkirchen-Faulück;-;43,2;-;-;-
PR1_SLF_062;Schleswig-Flensburg;-;Havetoft, Sieverstedt;-;109,4;-;-;-
PR1_SLF_063;Schleswig-Flensburg;-;Brodersby, Kappeln;-;111,4;-;-;-
PR1_SLF_064;Schleswig-Flensburg;-;Janneby, Wanderup;-;64,0;-;-;-
PR1_SLF_065;Schleswig-Flensburg;Schleswig-Flensburg;Eggebek, Janneby, Jerrishoe, Wanderup;Janneby, Wanderup;407,3;188,0;WKA in Betrieb;WKA in Betrieb
PR1_SLF_066;Schleswig-Flensburg;Schleswig-Flensburg;Sieverstedt, Tarp;Sieverstedt, Tarp;81,1;81,1;WKA in Betrieb;WKA in Betrieb
PR1_SLF_067;Schleswig-Flensburg;-;Grödersby, Rabenkirchen-Faulück;-;60,3;-;-;-
PR1_SLF_068;Schleswig-Flensburg;-;Janneby;-;37,1;-;-;-
PR1_SLF_069;Schleswig-Flensburg;Schleswig-Flensburg;Klappholz, Mittelangeln;Klappholz, Mittelangeln;20,7;20,7;WKA in Betrieb;WKA in Betrieb
PR1_SLF_070;Schleswig-Flensburg;Schleswig-Flensburg;Jörl, Löwenstedt, Sollwitt;Jörl, Löwenstedt, Sollwitt;119,3;37,2;-;-
PR1_SLF_071;Schleswig-Flensburg;-;Boren, Dollrottfeld;-;26,9;-;-;-
PR1_SLF_072;Schleswig-Flensburg;-;Brebel, Nottfeld, Süderbrarup;-;29,9;-;WKA in Betrieb;-
PR1_SLF_073;Schleswig-Flensburg;-;Struxdorf;-;31,8;-;-;-
PR1_SLF_074;Schleswig-Flensburg;Schleswig-Flensburg;Uelsby;Uelsby;27,4;19,7;-;-
PR1_SLF_075;Schleswig-Flensburg;Schleswig-Flensburg;Eggebek, Janneby;Janneby;197,6;122,0;-;-
PR1_SLF_076;Schleswig-Flensburg;-;Klappholz, Sieverstedt;-;89,6;-;-;-
PR1_SLF_077;Schleswig-Flensburg;-;Boren;-;33,4;-;-;-
PR1_SLF_078;Schleswig-Flensburg;Schleswig-Flensburg;Bollingstedt, Langstedt, Sieverstedt, Tarp;Langstedt, Sieverstedt, Tarp;312,6;123,7;-;-
PR1_SLF_080;Schleswig-Flensburg;Schleswig-Flensburg;Bollingstedt, Sieverstedt, Stolk;Sieverstedt, Stolk;147,9;90,5;-;-
PR1_SLF_081;Schleswig-Flensburg;Schleswig-Flensburg;Tolk, Twedt;Tolk, Twedt;72,2;72,2;WKA in Betrieb;WKA in Betrieb
PR1_SLF_082;Schleswig-Flensburg;-;Loit, Steinfeld;-;30,3;-;-;-
PR1_SLF_083;Schleswig-Flensburg;-;Jörl, Sollwitt, Süderhackstedt;-;127,8;-;-;-
