ID;Fläche in ha;Anzahl WEAs
PR3_DIT_007;131.712;7
PR3_DIT_008;68.91;10
PR3_DIT_023;228.349;26
PR3_DIT_025;116.599;14
PR3_DIT_031;157.491;19
PR3_DIT_039;0.0;0
PR3_DIT_040;0.0;0
PR3_DIT_043;26.377;2
PR3_DIT_044;0.0;0
PR3_DIT_045;47.893;6
PR3_DIT_047;90.678;15
PR3_DIT_051;218.196;18
PR3_DIT_059;159.596;17
PR3_DIT_073;75.264;4
PR3_DIT_083;38.988;2
PR3_DIT_096;197.585;15
PR3_DIT_097;140.558;7
PR3_DIT_100;30.246;4
PR3_DIT_102;105.12;6
PR3_DIT_104;20.08;1
PR3_DIT_107;98.318;8
PR3_DIT_108;0.0;0
PR3_DIT_109;0.0;0
PR3_DIT_110;211.806;21
PR3_LAU_001;94.08;5
PR3_LAU_033;0.0;0
PR3_LAU_063;83.261;4
PR3_LAU_067;46.128;8
PR1_NFL_002;38.307;2
PR1_NFL_006;0.0;0
PR1_NFL_009;137.346;7
PR1_NFL_014;137.346;7
PR1_NFL_019;0.0;0
PR1_NFL_025;58.165;3
PR1_NFL_026;155.68;8
PR1_NFL_031;71.89;5
PR1_NFL_032;0.0;0
PR1_NFL_035;32.448;2
PR1_NFL_043;56.786;3
PR1_NFL_045;32.448;2
PR1_NFL_047;32.448;2
PR1_NFL_049;0.0;0
PR1_NFL_056;0.0;0
PR1_NFL_057;0.0;0
PR1_NFL_069;29.823;4
PR1_NFL_074;16.224;1
PR1_NFL_080;0.0;0
PR1_NFL_082;23.786;2
PR1_NFL_086;96.543;9
PR1_NFL_091;0.0;0
PR1_NFL_095;219.672;15
PR1_NFL_096;38.988;2
PR1_NFL_097;9.6;1
PR1_NFL_100;130.894;14
PR1_NFL_102;188.15;11
PR1_NFL_104;50.414;3
PR1_NFL_111;0.0;0
PR1_NFL_113;163.464;16
PR1_NFL_115;57.302;6
PR1_NFL_122;104.754;12
PR1_NFL_135;89.343;8
PR1_NFL_301;0.0;0
PR1_NFL_303;0.0;0
PR1_NFL_309;0.0;0
PR1_NFL_425;0.0;0
PR1_NFL_427;114.921;6
PR1_NFL_504;74.295;9
PR3_OHS_001;0.0;0
PR3_OHS_012;37.986;4
PR3_OHS_015;0.0;0
PR3_OHS_021;7.562;1
PR3_OHS_022;0.0;0
PR3_OHS_025;0.0;0
PR3_OHS_037;22.05;3
PR3_OHS_040;0.0;0
PR3_OHS_047;0.0;0
PR3_OHS_049;0.0;0
PR3_OHS_050;27.396;3
PR3_OHS_062;0.0;0
PR3_OHS_068;0.0;0
PR3_OHS_069;13.068;2
PR3_OHS_076;0.0;0
PR3_OHS_077;0.0;0
PR3_OHS_420;0.0;0
PR3_PIN_009;11.532;2
PR2_PLO_002;29.822;4
PR2_PLO_030;0.0;0
PR2_RDE_025;175.446;9
PR2_RDE_029;0.0;0
PR2_RDE_033;54.432;7
PR2_RDE_034;80.808;4
PR2_RDE_039;40.927;2
PR2_RDE_046;0.0;0
PR2_RDE_075;122.78;6
PR2_RDE_094;113.574;6
PR2_RDE_121;75.96;7
PR2_RDE_122;175.446;9
PR2_RDE_140;82.134;4
PR2_RDE_142;91.459;9
PR2_RDE_144;0.0;0
PR3_SEG_003;40.159;2
PR3_SEG_019;0.0;0
PR3_SEG_024;75.764;7
PR3_SEG_028;0.0;0
PR3_SEG_035;46.338;3
PR3_SEG_057;0.0;0
PR3_SEG_327;0.0;0
PR1_SLF_004;0.0;0
PR1_SLF_011;19.494;1
PR1_SLF_019;0.0;0
PR1_SLF_021;0.0;0
PR1_SLF_028;93.392;8
PR1_SLF_034;0.0;0
PR1_SLF_035;61.206;4
PR1_SLF_043;0.0;0
PR1_SLF_052;0.0;0
PR1_SLF_059;0.0;0
PR1_SLF_060;0.0;0
PR1_SLF_065;67.122;3
PR1_SLF_066;42.432;4
PR1_SLF_069;0.0;0
PR1_SLF_081;0.0;0
PR1_SLF_085;32.448;2
PR1_SLF_102;12.608;5
PR1_SLF_103;50.394;4
PR1_SLF_105;0.0;0
PR1_SLF_106;54.85;10
PR1_SLF_109;27.144;7
PR3_STE_005;78.192;8
PR3_STE_008;48.735;10
PR3_STE_012;89.71;12
PR3_STE_013;0.0;0
PR3_STE_027;0.0;0
PR3_STE_041;0.0;0
PR3_STE_049;29.448;4
PR3_STE_056;0.0;0
PR3_STE_059;81.504;13
PR3_STE_060;0.0;0
PR3_STE_065;13.706;2
PR3_STE_069;13.706;2
PR3_STE_072;64.936;10
PR3_STE_073;96.28;16
PR3_STE_083;94.08;5
PR3_STE_084;19.494;1
PR3_STE_090;0.0;0
PR3_STE_094;0.0;0
PR3_STE_095;0.0;0
PR3_STE_096;25.734;3
PR3_STE_098;14.7;2
PR3_STE_100;0.0;0
