ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor;WKAPot;WKAVor;Coords Pot;Coords Vor
PR3_DIT_002;Dithmarschen;-;Lehe,Lunden,Schlichting,St.Annen;-;501.1;0.0;-;-;[54.3349245, 9.0542011];[0, 0]
PR3_DIT_003;Dithmarschen;-;Kleve,Schlichting;-;380.1;0.0;-;-;[54.3069263, 9.1078992];[0, 0]
PR3_DIT_005;Dithmarschen;-;Groven,Krempel,Rehm-Flehde-Bargen;-;135.8;0.0;-;-;[54.3092942, 9.0223363];[0, 0]
PR3_DIT_006;Dithmarschen;-;Schlichting;-;78.5;0.0;-;-;[54.3187649, 9.0910285];[0, 0]
PR3_DIT_007;Dithmarschen;Dithmarschen;Bergewöhrden,Delve,Hennstedt,Hollingstedt,Süderstapel;Hennstedt,Hollingstedt;716.9;115.1;WKA in Betrieb;WKA in Betrieb;[54.299314, 9.2133486];[54.2880167, 9.1964827]
PR3_DIT_008;Dithmarschen;Dithmarschen;Groven,Hemme;Groven,Hemme;98.2;98.2;WKA in Betrieb;WKA in Betrieb;[54.2976317, 9.0039362];[54.2976317, 9.0039362]
PR3_DIT_009;Dithmarschen;Dithmarschen;Hemme,Karolinenkoog;Karolinenkoog;101.6;40.9;-;-;[54.2825189, 8.9882233];[54.2833, 8.96667]
PR3_DIT_010;Dithmarschen;-;Tielenhemme;-;15. Mrz;0.0;-;-;[54.2766302, 9.3879984];[0, 0]
PR3_DIT_011;Dithmarschen;-;Pahlen;-;77.6;0.0;-;-;[54.2675609, 9.2957524];[0, 0]
PR3_DIT_012;Dithmarschen;-;Tielenhemme;-;113.3;0.0;-;-;[54.2766302, 9.3879984];[0, 0]
PR3_DIT_013;Dithmarschen;Dithmarschen;Hemme,Stelle-Wittenwurth;Hemme;111.9;92.3;-;-;[54.2709353, 9.0327636];[54.2817377, 9.0097766]
PR3_DIT_015;Dithmarschen;Dithmarschen;Hemme,Karolinenkoog,Neuenkirchen,Strübbel;Hemme,Karolinenkoog,Strübbel;283.1;182.5;-;-;[54.2657541, 8.9838569];[54.2755088, 8.9825467]
PR3_DIT_017;Dithmarschen;-;Dellstedt;-;56.4;0.0;-;-;[54.2369313, 9.3704291];[0, 0]
PR3_DIT_018;Dithmarschen;Dithmarschen;Hemme,Neuenkirchen,Stelle-Wittenwurth,Strübbel;Hemme,Neuenkirchen,Stelle-Wittenwurth;288.2;248.0;-;-;[54.2599623, 9.0061271];[54.2594535, 9.0177716]
PR3_DIT_019;Dithmarschen;-;Neuenkirchen;-;48.6;0.0;-;-;[54.23649, 8.9877874];[0, 0]
PR3_DIT_020;Dithmarschen;Dithmarschen;Norderheistedt,Ostrohe,Süderheistedt,Weddingstedt,Wiemerstedt;Norderheistedt,Süderheistedt,Wiemerstedt;372.8;87.9;-;-;[54.2399822, 9.1236595];[54.2502742, 9.1334115]
PR3_DIT_021;Dithmarschen;Dithmarschen;Hemme,Stelle-Wittenwurth,Weddingstedt;Hemme,Stelle-Wittenwurth;166.0;86.0;-;-;[54.2587646, 9.0517061];[54.2709353, 9.0327636]
PR3_DIT_023;Dithmarschen;Dithmarschen;Norddeich,Schülp,Wesselburenerkoog;Norddeich,Schülp,Wesselburenerkoog;135.7;133.5;WKA in Betrieb;WKA in Betrieb;[54.233768, 8.9044264];[54.233768, 8.9044264]
PR3_DIT_025;Dithmarschen;Dithmarschen;Neuenkirchen,Oesterwurth,Schülp,Wesselburen;Neuenkirchen,Oesterwurth,Schülp,Wesselburen;386.2;246.2;WKA in Betrieb;WKA in Betrieb;[54.2273693, 8.9568364];[54.2273693, 8.9568364]
PR3_DIT_028;Dithmarschen;Dithmarschen;Neuenkirchen;Neuenkirchen;189.8;87.8;-;-;[54.23649, 8.9877874];[54.23649, 8.9877874]
PR3_DIT_031;Dithmarschen;Dithmarschen;Norddeich,Schülp;Norddeich,Schülp;141.8;141.8;WKA in Betrieb;WKA in Betrieb;[54.2307894, 8.917322];[54.2307894, 8.917322]
PR3_DIT_032;Dithmarschen;-;Neuenkirchen,Oesterwurth;-;129.7;0.0;WKA in Betrieb;-;[54.226595, 8.9855587];[0, 0]
PR3_DIT_033;Dithmarschen;-;Süderdorf,Tellingstedt;-;21. Jan;0.0;-;-;[54.2166787, 9.3088659];[0, 0]
PR3_DIT_038;Dithmarschen;-;Neuenkirchen,Norderwöhrden;-;60.1;0.0;-;-;[54.218245, 9.0022287];[0, 0]
PR3_DIT_039;Dithmarschen;Dithmarschen;Osterrade,Wrohm;Osterrade,Wrohm;159.3;141.4;WKA in Betrieb;WKA in Betrieb;[54.2011989, 9.3659244];[54.2011989, 9.3659244]
PR3_DIT_040;Dithmarschen;Dithmarschen;Süderdorf,Tellingstedt;Süderdorf,Tellingstedt;107.4;102.0;WKA in Betrieb;WKA in Betrieb;[54.2166787, 9.3088659];[54.2166787, 9.3088659]
PR3_DIT_041;Dithmarschen;-;Norderwöhrden,Oesterwurth;-;105.5;0.0;-;-;[54.20835, 9.0];[0, 0]
PR3_DIT_042;Dithmarschen;-;Norderwöhrden;-;35.4;0.0;-;-;[54.2, 9.01667];[0, 0]
PR3_DIT_043;Dithmarschen;Dithmarschen;Neuenkirchen,Norderwöhrden,Oesterwurth;Neuenkirchen,Norderwöhrden,Oesterwurth;342.3;342.3;WKA in Betrieb;WKA in Betrieb;[54.21773, 8.9959291];[54.21773, 8.9959291]
