ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor;Coords;Wetter-ID
PR3_DIT_002;Dithmarschen;-;Lehe, Lunden, Schlichting, St. Annen;-;501.1;-;[54.3349245, 9.0542011];1266
PR3_DIT_003;Dithmarschen;-;Kleve, Schlichting;-;380.1;-;[54.3069263, 9.1078992];1266
PR3_DIT_005;Dithmarschen;-;Groven, Krempel, Rehm-Flehde-Bargen;-;135.8;-;[54.3092942, 9.0223363];1266
PR3_DIT_006;Dithmarschen;-;Schlichting;-;78.5;-;[54.3187649, 9.0910285];1266
PR3_DIT_007;Dithmarschen;Dithmarschen;Bergewöhrden, Delve, Hennstedt, Hollingstedt, Süderstapel;Hennstedt, Hollingstedt;716.9;115,1;[54.3077329, 9.2105008];1266
PR3_DIT_008;Dithmarschen;Dithmarschen;Groven, Hemme;Groven, Hemme;98.2;98,2;[54.2976317, 9.0039362];1266
PR3_DIT_009;Dithmarschen;Dithmarschen;Hemme, Karolinenkoog;Karolinenkoog;101.6;40,9;[54.2825189, 8.9882233];788
PR3_DIT_010;Dithmarschen;-;Tielenhemme;-;15. Mrz;-;[54.2766302, 9.3879984];1266
PR3_DIT_011;Dithmarschen;-;Pahlen;-;77.6;-;[54.2675609, 9.2957524];1266
PR3_DIT_012;Dithmarschen;-;Tielenhemme;-;113.3;-;[54.2766302, 9.3879984];1266
PR3_DIT_013;Dithmarschen;Dithmarschen;Hemme, Stelle-Wittenwurth;Hemme;111.9;92,3;[54.2709353, 9.0327636];1266
PR3_DIT_015;Dithmarschen;Dithmarschen;Hemme, Karolinenkoog, Neuenkirchen, Strübbel;Hemme, Karolinenkoog, Strübbel;283.1;182,5;[54.2657541, 8.9838569];788
PR3_DIT_017;Dithmarschen;-;Dellstedt;-;56.4;-;[54.2369313, 9.3704291];1266
PR3_DIT_018;Dithmarschen;Dithmarschen;Hemme, Neuenkirchen, Stelle-Wittenwurth,Strübbel;Hemme, Neuenkirchen, Stelle-Wittenwurth;288.2;248;[54.2599623, 9.0061271];788
PR3_DIT_019;Dithmarschen;-;Neuenkirchen;-;48.6;-;[54.23649, 8.9877874];788
PR3_DIT_020;Dithmarschen;Dithmarschen;Norderheistedt, Ostrohe, Süderheistedt,Weddingstedt, Wiemerstedt;Norderheistedt, Süderheistedt,Wiemerstedt;372.8;87,9;[54.2399822, 9.1236595];1266
PR3_DIT_021;Dithmarschen;Dithmarschen;Hemme, Stelle-Wittenwurth, Weddingstedt;Hemme, Stelle-Wittenwurth;166.0;86;[54.2587646, 9.0517061];1266
PR3_DIT_023;Dithmarschen;Dithmarschen;Norddeich, Schülp, Wesselburenerkoog;Norddeich, Schülp,Wesselburenerkoog;135.7;133,5;[54.233768, 8.9044264];788
PR3_DIT_025;Dithmarschen;Dithmarschen;Neuenkirchen, Oesterwurth, Schülp,Wesselburen;Neuenkirchen, Oesterwurth, Schülp,Wesselburen;386.2;246,2;[54.2273693, 8.9568364];788
PR3_DIT_028;Dithmarschen;Dithmarschen;Neuenkirchen;Neuenkirchen;189.8;87,8;[54.23649, 8.9877874];788
PR3_DIT_031;Dithmarschen;Dithmarschen;Norddeich, Schülp;Norddeich, Schülp;141.8;141,8;[54.2307894, 8.917322];788
PR3_DIT_032;Dithmarschen;-;Neuenkirchen, Oesterwurth;-;129.7;-;[54.226595, 8.9855587];788
PR3_DIT_033;Dithmarschen;-;Süderdorf, Tellingstedt;-;21. Jan;-;[54.2166787, 9.3088659];1266
PR3_DIT_038;Dithmarschen;-;Neuenkirchen, Norderwöhrden;-;60.1;-;[54.218245, 9.0022287];788
PR3_DIT_039;Dithmarschen;Dithmarschen;Osterrade, Wrohm;Osterrade, Wrohm;159.3;141,4;[54.2011989, 9.3659244];1266
PR3_DIT_040;Dithmarschen;Dithmarschen;Süderdorf, Tellingstedt;Süderdorf, Tellingstedt;107.4;102;[54.2166787, 9.3088659];1266
PR3_DIT_041;Dithmarschen;-;Norderwöhrden, Oesterwurth;-;105.5;-;[54.20835, 9.0];788
PR3_DIT_042;Dithmarschen;-;Norderwöhrden;-;35.4;-;[54.2, 9.01667];788
PR3_DIT_043;Dithmarschen;Dithmarschen;Neuenkirchen, Norderwöhrden, Oesterwurth;Neuenkirchen, Norderwöhrden,Oesterwurth;342.3;342,3;[54.21773, 8.9959291];788
PR3_DIT_044;Dithmarschen;Dithmarschen;Tellingstedt;Tellingstedt;59.0;25,2;[54.2199228, 9.280779];1266
PR3_DIT_045;Dithmarschen;Dithmarschen;Hedwigenkoog, Hellschen-Heringsand-Unterschaar;Hedwigenkoog, Hellschen-Heringsand-Unterschaar;158.4;158,4;[54.19165, 8.85];788
PR3_DIT_046;Dithmarschen;Dithmarschen;Norderwöhrden, Oesterwurth,Wesselburener Deichhausen;Norderwöhrden, Oesterwurth,Wesselburener Deichhausen;128.3;128,3;[54.1971987, 8.9793682];788
PR3_DIT_047;Dithmarschen;Dithmarschen;Reinsbüttel, Süderdeich, Wesselburener Deichhausen;Reinsbüttel, Süderdeich,Wesselburener Deichhausen;121.0;121;[54.1849355, 8.9198589];788
PR3_DIT_049;Dithmarschen;Dithmarschen;Hedwigenkoog, Hellschen-Heringsand-Unterschaar, Reinsbüttel, Süderdeich;Hedwigenkoog, Hellschen-Heringsand-Unterschaar, Reinsbüttel, Süderdeich;221.2;221,2;[54.1908026, 8.880368];788
PR3_DIT_051;Dithmarschen;Dithmarschen;Lohe-Rickelshof, Norderwöhrden, Wöhrden;Lohe-Rickelshof, Norderwöhrden,Wöhrden;90.9;90,9;[54.1848129, 9.0280665];1200
PR3_DIT_055;Dithmarschen;-;Norderwöhrden, Wöhrden;-;40.1;-;[54.18335, 9.008335];788
PR3_DIT_058;Dithmarschen;Dithmarschen;Norderwöhrden, Wöhrden;Norderwöhrden, Wöhrden;210.8;210,8;[54.18335, 9.008335];788
PR3_DIT_059;Dithmarschen;Dithmarschen;Friedrichsgabekoog, Norderwöhrden,Wesselburener Deichhausen, Wöhrden;Norderwöhrden, Wesselburener Deichhausen, Wöhrden;127.5;104,1;[54.1738349, 8.9728119];788
PR3_DIT_063;Dithmarschen;Dithmarschen;Hemmingstedt, Lieth, Wöhrden;Hemmingstedt, Lieth, Wöhrden;175.7;175,7;[54.1575769, 9.047794];1200
PR3_DIT_066;Dithmarschen;Dithmarschen;Albersdorf, Arkebek, Tensbüttel-Röst;Albersdorf;186.5;56,1;[54.1423296, 9.2576434];19172
PR3_DIT_067;Dithmarschen;Dithmarschen;Nordermeldorf, Wöhrden;Nordermeldorf;97.0;76,1;[54.1417925, 9.0093881];1200
PR3_DIT_068;Dithmarschen;Dithmarschen;Epenwöhrden, Hemmingstedt,Nordermeldorf;Epenwöhrden, Nordermeldorf;43.2;39,4;[54.125952, 9.0511613];1200
PR3_DIT_069;Dithmarschen;-;Nordermeldorf;-;17. Sep;-;[54.1168851, 9.0187761];1200
PR3_DIT_070;Dithmarschen;-;Epenwöhrden;-;35.7;-;[54.1103274, 9.0520778];1200
PR3_DIT_071;Dithmarschen;Dithmarschen;Nordermeldorf;Nordermeldorf;73.1;47,5;[54.1168851, 9.0187761];1200
PR3_DIT_073;Dithmarschen;Dithmarschen;Albersdorf, Schafstedt, Tensbüttel-Röst;Albersdorf, Schafstedt, Tensbüttel-Röst;145.0;100,5;[54.1158414, 9.2737759];19172
