"""MaStR-Nr. der Einheit""";Anzeige-Name der Einheit;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Bundesland;Postleitzahl;Ort;Anzahl der Solar-Module;Hauptausrichtung der Solar-Module;Inbetriebnahmedatum der EEG-Anlage;Coords;Wetter-ID
SEE933710788626;AED 148i;29,835;20;21.12.2018;31.01.2019;Hamburg;21039;Hamburg;;;21.12.2018;[53.4513175, 10.2547253];1736
SEE905678950803;Hausdach;2,92;2,92;27.08.2008;31.01.2019;Hamburg;22457;Hamburg;13.0;SÃ¼d;27.08.2008;[53.6375593, 9.9110214];4039
SEE946633726606;Hytten;1,29;1,1;07.06.2007;01.02.2019;Hamburg;22527;Hamburg;6.0;SÃ¼d-West;07.06.2007;[53.550341, 10.000654];4039
SEE925777556638;Hausdach Nr. ABR977300952479;8,06;7;09.12.2015;01.02.2019;Hamburg;22457;Hamburg;31.0;West;09.12.2015;[53.6375593, 9.9110214];4039
SEE974153948895;Kl. Schippsee;10,37;10,37;21.07.2009;01.02.2019;Hamburg;21073;Hamburg;1.0;Ost;21.07.2009;[53.550341, 10.000654];4039
SEE944902290391;Sonnenwende 40;1,92;1,92;06.08.1997;01.02.2019;Hamburg;22417;Hamburg;16.0;SÃ¼d;06.08.1997;[53.6704119, 10.0270286];4039
SEE940590994726;StÃ¼beheide;9,86;8,2;12.12.2017;01.02.2019;Hamburg;22337;Hamburg;34.0;Nord-Ost;12.12.2017;[53.550341, 10.000654];4039
SEE986438765073;PV-Anlage;5,07;4,5;08.03.2012;01.02.2019;Hamburg;22453;Hamburg;39.0;SÃ¼d;08.03.2012;[53.550341, 10.000654];4039
SEE906872973674;I-00004-A-13;4,8;4;31.07.2013;01.02.2019;Hamburg;22527;Hamburg;24.0;SÃ¼d;31.07.2013;[53.550341, 10.000654];4039
SEE953880317235;PV-Anlage Hausdach;4,275;4;11.04.2016;01.02.2019;Hamburg;22393;Hamburg;15.0;SÃ¼d;11.04.2016;[53.6477044, 10.1151804];4039
SEE918398136013;PV Anlage;4,4;4,4;29.05.2018;01.02.2019;Hamburg;22149;Hamburg;16.0;SÃ¼d-West;29.05.2018;[53.5919645, 10.1620723];4039
SEE903281417539;Hausdach;3,6;3,3;23.08.2007;01.02.2019;Hamburg;21079;Hamburg;20.0;West;23.08.2007;[53.550341, 10.000654];4039
SEE996274660708;PV;2;2;02.07.1997;01.02.2019;Hamburg;22457;Hamburg;8.0;SÃ¼d;02.07.1997;[53.6375593, 9.9110214];4039
SEE992755133679;Dach;4,32;4,32;18.12.2009;01.02.2019;Hamburg;22045;Hamburg;24.0;SÃ¼d;18.12.2009;[53.5839495, 10.1308382];4039
SEE964509788152;Alte Anlage Solar Nr. 1;18,33;18;15.08.2006;01.02.2019;Hamburg;21129;Hamburg;78.0;SÃ¼d;15.08.2006;[53.5259453, 9.8372267];4039
SEE920009515827;TMS;19,74;18,4;21.11.2011;01.02.2019;Hamburg;22175;Hamburg;84.0;SÃ¼d;21.11.2011;[53.6268746, 10.1015902];4039
SEE966348271192;2013HausdachSÃ¼den;7,2;3,6;27.09.2013;01.02.2019;Hamburg;21035;Hamburg;30.0;SÃ¼d;27.09.2013;[53.482356, 10.1714862];4039
SEE965556632870;Mittlere Anlage Solar Nr. 2;22,5;20;16.04.2009;02.02.2019;Hamburg;21129;Hamburg;300.0;West;16.04.2009;[53.5259453, 9.8372267];4039
SEE940865549248;Dach;2,85;2;18.03.2017;03.02.2019;Hamburg;22393;Hamburg;10.0;SÃ¼d;18.03.2017;[53.6477044, 10.1151804];4039
