KREIS;GEMEINDE;TYP;Modell;HERSTELLER;NABENHOEHE;ROTORDURCHMESSER;SCHALLLEISTUNGSPEGEL;LEISTUNG;LEISTUNGSBEZUG;OSTWERT (EPSG:4647);NORDWERT (EPSG:4647);GENEHMIGT_AM;INBETRIEBNAHME;STATUS;BST_NR;ANL_NR;DATENDATUM;DATENQUELLE;BETREIBER;Coords;Wetter-ID;Coords UTM;Distance UTM to old
HH;Altenwerder;Enercon-126;Enercon E-66/1800;Enercon;50.0;;;6000;kW Nennleist. Rotor.;32560845;5929336;;2008;;;;;;Windpark GmbH;[53.5047, 9.92056];1975;('53.50944327652587', '9.917488016996971');0,5658869898263638
HH;Altenwerder;Enercon-126;Enercon E-66/1800;Enercon;50.0;;;6000;kW Nennleist. Rotor.;32560845;5929336;;2008;;;;;;Windpark GmbH;[53.5047, 9.92056];1975;('53.50944327652587', '9.917488016996971');0,5658869898263638
HH;Curslacker Deich;SÃÂ¼dwind N3127;Nordex N117/3000;;50.0;;;270;kW Nennleist. Rotor.;32582645;5921815;;1995;;;;;;;[53.4645807, 10.2020093];1975;('53.438880874585585', '10.244159735291158');4,002799044161516
HH;Hohe Schaar;Enercon E-66/18.70;Enercon E-66/1800;Enercon;50.0;;;1800;kW Nennleist. Rotor.;32563487;5927423;;2000;;;;;;;[53.4803887, 9.9820636];1975;('53.491937998770716', '9.956933767426822');2,105916727171926
HH;Hohe Schaar;Enercon E-66/18.70;Enercon E-66/1800;Enercon;50.0;;;1800;kW Nennleist. Rotor.;32563487;5927423;;2000;;;;;;;[53.4803887, 9.9820636];1975;('53.491937998770716', '9.956933767426822');2,105916727171926
HH;KÃÂ¶hlbrandthÃÂ¶ft;Nordex N117/3000;Nordex N117/3000;Nordex;50.0;;;3000;kW Nennleist. Rotor.;32562394;5932014;;2014;;;;;;Hamburg Energie;[0, 0];1975;('53.53333008154738', '9.941375587239369');6004,8648192350465
HH;Neuenfelde;Nordex N27/150;;Nordex;50.0;;;150;kW Nennleist. Rotor.;32552658;5928310;;1993;;;;;;NET OHG;[53.5182412, 9.8079161];1975;('53.501105426738825', '9.79387710470558');2,1224265619237945
HH;Neuenfelde;Nordex N27/150;;Nordex;50.0;;;150;kW Nennleist. Rotor.;32552658;5928310;;1993;;;;;;NET OHG;[53.5182412, 9.8079161];1975;('53.501105426738825', '9.79387710470558');2,1224265619237945
HH;Altengamme;AN Bonus 600/44;;AN Bonus;50.0;;;600;kW Nennleist. Rotor.;32583682;5923688;;1996;;;;;;NET OHG;[53.4443479, 10.2737961];1975;('53.4555491453833', '10.260265056780916');1,5369603068753783
HH;Altengamme;AN Bonus 600/45;;AN Bonus;50.0;;;600;kW Nennleist. Rotor.;32583682;5923688;;1996;;;;;;NET OHG;[53.4443479, 10.2737961];1975;('53.4555491453833', '10.260265056780916');1,5369603068753783
HH;Altengamme;Enercon E-40/5.40;;Enercon;50.0;;;500;kW Nennleist. Rotor.;32583682;5923688;;1997;;;;;;NET OHG;[53.4443479, 10.2737961];1975;('53.4555491453833', '10.260265056780916');1,5369603068753783
