KREIS;GEMEINDE;TYP;Modell;HERSTELLER;NABENHOEHE;ROTORDURCHMESSER;SCHALLLEISTUNGSPEGEL;LEISTUNG;LEISTUNGSBEZUG;OSTWERT (EPSG:4647);NORDWERT (EPSG:4647);GENEHMIGT_AM;INBETRIEBNAHME;STATUS;BST_NR;ANL_NR;DATENDATUM;DATENQUELLE;Coords;Wetter-ID
Dithmarschen;Neuenkirchen; REPower 3.2 M;Repower 3.2M114;REpower;93.0;114.0;105,2 dB(A)/99,5 dB(A);3200;kW Nennleist. Rotor.;32497347;6009533;15.10.2014 00:00;11.09.2015 00:00;in Betrieb;51075506934;4;13.07.2021;LLUR SH, Abtl. 7;[54.23649, 8.9877874];788
Dithmarschen;WÃÂ¶hrden;AN Bonus;;AN BONUS;30.0;23.0;101;150;kW Nennleist. Rotor.;32500560;6001081;14.07.1993 00:00;31.12.1899;in Betrieb;51113512560;1;13.07.2021;LLUR SH, Abtl. 7;[54.1667, 9.0];788
Nordfriesland;UelvesbÃÂ¼ll;AN Bonus;;AN BONUS;70.0;54.0;102.1;1000;kW Nennleist. Rotor.;32495898;6028324;25.09.2000 00:00;25.09.2000 00:00;in Betrieb;54141286627;1;13.07.2021;LLUR SH, Abtl. 7;[54.4166642, 8.9228489];4919
Nordfriesland;UelvesbÃÂ¼ll;AN Bonus;;AN BONUS;70.0;54.0;102.1;1000;kW Nennleist. Rotor.;32495925;6028559;25.09.2000 00:00;25.09.2000 00:00;in Betrieb;54141286627;2;13.07.2021;LLUR SH, Abtl. 7;[54.4166642, 8.9228489];4919
Nordfriesland;UelvesbÃÂ¼ll;AN Bonus;;AN BONUS;70.0;54.0;102,1 dB(A)+3 dB Stallzuschlag;1000;kW Nennleist. Rotor.;32495958;6028829;25.09.2000 00:00;25.09.2000 00:00;in Betrieb;54141286627;3;13.07.2021;LLUR SH, Abtl. 7;[54.4166642, 8.9228489];4919
Nordfriesland;UelvesbÃÂ¼ll;AN Bonus;;AN BONUS;70.0;54.0;102,1 dB(A)+3 dB Stallzuschlag;1000;kW Nennleist. Rotor.;32496323;6028603;25.09.2000 00:00;25.09.2000 00:00;in Betrieb;54141286627;4;13.07.2021;LLUR SH, Abtl. 7;[54.4166642, 8.9228489];4919
Nordfriesland;UelvesbÃÂ¼ll;AN Bonus;;AN BONUS;70.0;54.0;102,1 dB(A)+3 dB Stallzuschlag;1000;kW Nennleist. Rotor.;32496345;6028875;25.09.2000 00:00;25.09.2000 00:00;in Betrieb;54141286627;5;13.07.2021;LLUR SH, Abtl. 7;[54.4166642, 8.9228489];4919
Nordfriesland;UelvesbÃÂ¼ll;AN Bonus;;AN BONUS;70.0;54.0;102,1 dB(A)+3 dB Stallzuschlag;1000;kW Nennleist. Rotor.;32496763;6028969;25.09.2000 00:00;31.01.2002 00:00;in Betrieb;54141286627;6;13.07.2021;LLUR SH, Abtl. 7;[54.4166642, 8.9228489];4919
Nordfriesland;UelvesbÃÂ¼ll;AN Bonus;;AN BONUS;70.0;54.0;102,1 dB(A);1000;kW Nennleist. Rotor.;32497191;6029043;25.09.2000 00:00;25.09.2000 00:00;in Betrieb;54141286627;7;13.07.2021;LLUR SH, Abtl. 7;[54.4166642, 8.9228489];4919
Nordfriesland;UelvesbÃÂ¼ll;AN Bonus;;AN BONUS;70.0;54.0;102,1 dB(A);1000;kW Nennleist. Rotor.;32497574;6029243;25.09.2000 00:00;25.09.2000 00:00;in Betrieb;54141286627;8;13.07.2021;LLUR SH, Abtl. 7;[54.4166642, 8.9228489];4919
Steinburg;BÃÂ¼ttel;AN BONUS;;AN BONUS;41.0;54.0;101;1000;kW Nennleist. Rotor.;32515858;5972700;01.02.1995 00:00;15.10.1995 00:00;in Betrieb;61020437673;7;13.07.2021;LLUR SH, Abtl. 7;[53.904089, 9.2265855];1200
Steinburg;Quarnstedt;AN BONUS;;AN BONUS;69.0;62.0;101.5;1300;kW Nennleist. Rotor.;32549934;5979884;06.02.2001 00:00;22.11.2001 00:00;in Betrieb;61088511741;2;13.07.2021;LLUR SH, Abtl. 7;[53.9544326, 9.7869333];2429
Steinburg;Quarnstedt;AN BONUS;;AN BONUS;69.0;62.0;101.5;1300;kW Nennleist. Rotor.;32550205;5979790;06.02.2001 00:00;09.12.2001 00:00;in Betrieb;61088511741;3;13.07.2021;LLUR SH, Abtl. 7;[53.9544326, 9.7869333];2429
Steinburg;Quarnstedt;AN BONUS;;AN BONUS;69.0;62.0;101.5;1300;kW Nennleist. Rotor.;32550315;5980115;06.02.2001 00:00;19.11.2001 00:00;in Betrieb;61088511741;4;13.07.2021;LLUR SH, Abtl. 7;[53.9544326, 9.7869333];2429
Steinburg;Quarnstedt;AN BONUS;;AN BONUS;69.0;62.0;101.5;1300;kW Nennleist. Rotor.;32550087;5980452;06.02.2001 00:00;13.11.2001 00:00;in Betrieb;61088511741;5;13.07.2021;LLUR SH, Abtl. 7;[53.9544326, 9.7869333];2429
Steinburg;Quarnstedt;AN BONUS;;AN BONUS;69.0;62.0;101.5;1300;kW Nennleist. Rotor.;32550988;5980228;06.02.2001 00:00;15.11.2001 00:00;in Betrieb;61088511741;6;13.07.2021;LLUR SH, Abtl. 7;[53.9544326, 9.7869333];2429
Steinburg;Quarnstedt;AN BONUS;;AN BONUS;69.0;62.0;101.5;1300;kW Nennleist. Rotor.;32550809;5980529;06.02.2001 00:00;27.11.2001 00:00;in Betrieb;61088511741;7;13.07.2021;LLUR SH, Abtl. 7;[53.9544326, 9.7869333];2429
Steinburg;Quarnstedt;AN BONUS;;AN BONUS;69.0;62.0;101.5;1300;kW Nennleist. Rotor.;32550411;5980606;06.02.2001 00:00;13.11.2001 00:00;in Betrieb;61088511741;8;13.07.2021;LLUR SH, Abtl. 7;[53.9544326, 9.7869333];2429
Steinburg;Quarnstedt;AN BONUS;;AN BONUS;69.0;62.0;101.5;1300;kW Nennleist. Rotor.;32550181;5980841;06.02.2001 00:00;14.11.2001 00:00;in Betrieb;61088511741;9;13.07.2021;LLUR SH, Abtl. 7;[53.9544326, 9.7869333];2429
Steinburg;Quarnstedt;AN BONUS;;AN BONUS;69.0;62.0;101.5;1300;kW Nennleist. Rotor.;32550787;5980894;06.02.2001 00:00;21.11.2001 00:00;in Betrieb;61088511741;10;13.07.2021;LLUR SH, Abtl. 7;[53.9544326, 9.7869333];2429
Steinburg;StÃÂ¶rkathen;AN BONUS;;AN BONUS;69.0;62.0;101.5;1300;kW Nennleist. Rotor.;32550227;5981072;06.02.2001 00:00;13.12.2001 00:00;in Betrieb;61088511741;11;13.07.2021;LLUR SH, Abtl. 7;[53.9799298, 9.7563732];2429
Steinburg;StÃÂ¶rkathen;AN BONUS;;AN BONUS;69.0;62.0;101.5;1300;kW Nennleist. Rotor.;32550554;5981211;06.02.2001 00:00;21.12.2001 00:00;in Betrieb;61088511741;12;13.07.2021;LLUR SH, Abtl. 7;[53.9799298, 9.7563732];2429
Ostholstein;Gremersdorf;AN BONUS 1,3;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104,4 dB(A);1300;kW Nennleist. Rotor.;32627892;6022074;20.06.2000 00:00;29.08.2000 00:00;in Betrieb;55015462028;1;13.07.2021;LLUR SH, Abtl. 7;[54.3325847, 10.932245];5877
Ostholstein;Gremersdorf;AN BONUS 1,3;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104,4 dB(A);1300;kW Nennleist. Rotor.;32628020;6021678;20.06.2000 00:00;24.08.2000 00:00;in Betrieb;55015462028;2;13.07.2021;LLUR SH, Abtl. 7;[54.3325847, 10.932245];5877
Ostholstein;Gremersdorf;AN BONUS 1,3;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104,4 dB(A);1300;kW Nennleist. Rotor.;32627734;6021530;23.10.2003 00:00;30.12.2003 00:00;in Betrieb;55015462029;1;13.07.2021;LLUR SH, Abtl. 7;[54.3325847, 10.932245];5877
Ostholstein;Gremersdorf;AN BONUS 1,3;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104,4 dB(A);1300;kW Nennleist. Rotor.;32627657;6021971;20.11.2002 00:00;30.12.2002 00:00;in Betrieb;55015462032;1;13.07.2021;LLUR SH, Abtl. 7;[54.3325847, 10.932245];5877
Pinneberg;Uetersen;AN Bonus 1,3 MW;AN Bonus 1,3/62;AN BONUS;62.0;62.0;104.4;1300;kW Nennleist. Rotor.;32541482;5949610;12.12.2000 00:00;21.12.2001 00:00;in Betrieb;56049515339;1;13.07.2021;LLUR SH, Abtl. 7;[53.6851608, 9.669827];4039
Pinneberg;Uetersen;AN Bonus 1,3 MW;AN Bonus 1,3/62;AN BONUS;62.0;62.0;104.4;1300;kW Nennleist. Rotor.;32541518;5949441;12.12.2000 00:00;21.12.2001 00:00;in Betrieb;56049515339;2;13.07.2021;LLUR SH, Abtl. 7;[53.6851608, 9.669827];4039
Pinneberg;Uetersen;AN Bonus 1,3 MW;AN Bonus 1,3/62;AN BONUS;62.0;62.0;104.4;1300;kW Nennleist. Rotor.;32541603;5948999;12.12.2000 00:00;21.12.2001 00:00;in Betrieb;56049515339;3;13.07.2021;LLUR SH, Abtl. 7;[53.6851608, 9.669827];4039
Pinneberg;Uetersen;AN Bonus 1,3 MW;AN Bonus 1,3/62;AN BONUS;62.0;62.0;104.4;1300;kW Nennleist. Rotor.;32541775;5948923;12.12.2000 00:00;21.12.2001 00:00;in Betrieb;56049515339;5;13.07.2021;LLUR SH, Abtl. 7;[53.6851608, 9.669827];4039
