KREIS;GEMEINDE;TYP;MODELL;HERSTELLER;NABENHOEHE;ROTORDURCHMESSER;SCHALLLEISTUNGSPEGEL;LEISTUNG;LEISTUNGSBEZUG;OSTWERT (EPSG:4647);NORDWERT (EPSG:4647);GENEHMIGT_AM;INBETRIEBNAHME;STATUS;BST_NR;ANL_NR;DATENDATUM;DATENQUELLE;Coords;Wetter-ID
Schleswig-Flensburg;Lindewitt; Nordex N149/5700;Enercon E-70 E4/2000;Enercon;85;82;104,5 dB(A);2300;kW Nennleist. Rotor.;32619817;5978875;01.04.2011;25.09.2012;in Betrieb;3000924205;1;13.07.2021;LLUR SH, Abtl. 7;[53.866444, 10.684738];3086
Dithmarschen;Neuenkirchen; REPower 3.2 M;Enercon E-70 E4/2300;Enercon;85;82;104,5;2300;kW Nennleist. Rotor.;32619815;5977994;01.04.2011;25.09.2012;in Betrieb;3000924205;2;13.07.2021;LLUR SH, Abtl. 7;[53.866444, 10.684738];3086
Nordfriesland;Uelvesbüll; Vensys 115-4,1;Vestas V112/3000;Tacke;50;43;98,3;600;kW Nennleist. Rotor.;32620847;5977577;16.04.1996;04.10.1996;in Betrieb;3000924233;1;13.07.2021;LLUR SH, Abtl. 7;[53.866444, 10.684738];3086
Steinburg;Reher;1 Vestas V136-4.0/4.2;Vestas V112/3075;Vestas;119;112;106,5 dB(A)/106,5 dB(A);3450;kW Nennleist. Rotor.;32516648;5999295;07.10.2013;11.06.2014;in Betrieb;51001900011;1;13.07.2021;LLUR SH, Abtl. 7;[54.1458092, 9.285792];1200
Dithmarschen;Wöhrden;AN Bonus;Vestas V112/3300;Vestas;119;112;106,5 dB(A)/106,5 dB(A);3450;kW Nennleist. Rotor.;32516599;5998975;07.10.2013;11.06.2014;in Betrieb;51001900011;2;13.07.2021;LLUR SH, Abtl. 7;[54.1458092, 9.285792];1200
Nordfriesland;Uelvesbüll;AN Bonus;Vestas V112/3450;Vestas;119;112;106,5 dB(A)/106,5 dB(A);3450;kW Nennleist. Rotor.;32516709;5998672;07.10.2013;11.06.2014;in Betrieb;51001900011;3;13.07.2021;LLUR SH, Abtl. 7;[54.1458092, 9.285792];1200
Nordfriesland;Uelvesbüll;AN Bonus;Repower 3.2M114;Vestas;119;112;106,5 dB(A)/106,5 dB(A);3450;kW Nennleist. Rotor.;32516928;5998977;07.10.2013;11.06.2014;in Betrieb;51001900011;4;13.07.2021;LLUR SH, Abtl. 7;[54.1458092, 9.285792];1200
Nordfriesland;Uelvesbüll;AN Bonus;Enercon E-82/2000;Vestas;119;112;106,5 dB(A)/106,5 dB(A);3450;kW Nennleist. Rotor.;32517034;5998625;07.10.2013;11.06.2014;in Betrieb;51001900011;5;13.07.2021;LLUR SH, Abtl. 7;[54.1458092, 9.285792];1200
Nordfriesland;Uelvesbüll;AN Bonus;Enercon E-82/2300;Vestas;94;112;106,5 dB(A)/104,8 dB(A);3300;kW Nennleist. Rotor.;32516771;5998370;19.06.2014;09.06.2015;in Betrieb;51001900011;6;13.07.2021;LLUR SH, Abtl. 7;[54.1458092, 9.285792];1200
Nordfriesland;Uelvesbüll;AN Bonus;Enercon E-82/2350;REpower;98;104;105,6 dB(A)/105,6 dB(A);3400;kW Nennleist. Rotor.;32501310;5985045;02.09.2011;15.03.2012;in Betrieb;51006000021;1;13.07.2021;LLUR SH, Abtl. 7;[54.012441, 9.0565575];1200
