Datum;0_Ezg_Enercon-126_Enercon E-66/1800_1975;1_Ezg_Enercon-126_Enercon E-66/1800_1975;2_Ezg_SÃÂ¼dwind N3127_Nordex N117/3000_1975;3_Ezg_Enercon E-66/18.70_Enercon E-66/1800_1975;4_Ezg_Enercon E-66/18.70_Enercon E-66/1800_1975;5_Ezg_Nordex N117/3000_Nordex N117/3000_1975;6_Ezg_Nordex N27/150_nan_1975;7_Ezg_Nordex N27/150_nan_1975;8_Ezg_AN Bonus 600/44_nan_1975;9_Ezg_AN Bonus 600/45_nan_1975;10_Ezg_Enercon E-40/5.40_nan_1975;11_Ezg_Enercon E-40/5.40_nan_1975;12_Ezg_Senvion MM100_nan_1975;13_Ezg_Senvion MM100_nan_1975;14_Ezg_Senvion MM100_nan_1975;15_Ezg_Senvion MM100_nan_1975;16_Ezg_Senvion MM100_nan_1975;17_Ezg_Senvion MM100_nan_1975;18_Ezg_Nordex N117/3000_Nordex N117/3000_1975;19_Ezg_Nordex N117/2400_Nordex N117/2400_1975;20_Ezg_Nordex N117/2400_Nordex N117/2400_1975;21_Ezg_Nordex N117/2400_Nordex N117/2400_1975;22_Ezg_Nordex N117/2400_Nordex N117/2400_1975;23_Ezg_Nordex N117/2400_Nordex N117/2400_1975;24_Ezg_Nordex N100/2500_nan_1975;25_Ezg_Nordex N100/2500_nan_1975;26_Ezg_Micon M1500-600_nan_1975;27_Ezg_Micon M1500-600_nan_1975;28_Ezg_Micon M1500-600_nan_1975;29_Ezg_Enercon E-40/5.40_nan_1975;30_Ezg_Enercon E-40/5.40_nan_1975;31_Ezg_Enercon E-40/5.40_nan_1975;32_Ezg_Enercon E-40/6.44_nan_1975;33_Ezg_Enercon E-40/6.44_nan_1975;34_Ezg_Enercon E-40/6.44_nan_1975;35_Ezg_Enercon E-40/6.44_nan_1975;36_Ezg_Vestas V90-2MW_nan_1975;37_Ezg_Vestas V117-3.3MW_nan_1975;38_Ezg_Vestas V117-3.3MW_nan_1975;39_Ezg_Enercon E-66/15.66_Enercon E-66/1500_1975;40_Ezg_Repower MD77_nan_1975;41_Ezg_Repower 3.4M104_REpower 3.4M104_1975;42_Ezg_Tacke TW 600_Tacke TW 600_1975;43_Ezg_Enercon E-40/5.40_nan_1975;44_Ezg_Enercon E-92_nan_1975;45_Ezg_Enercon E-92_nan_1975;46_Ezg_Senvion MM100_nan_1975;47_Ezg_Senvion MM100_nan_1975;48_Ezg_Senvion MM100_nan_1975;49_Ezg_Senvion MM100_nan_1975;50_Ezg_Enercon E-40/5.40_nan_1975;51_Ezg_Enercon E-40/5.40_nan_1975;52_Ezg_Enercon E-40/5.40_nan_1975;53_Ezg_Enercon E-40/5.40_nan_1975;54_Ezg_NEG Micon NM48/600_nan_1975;55_Ezg_NEG Micon NM48/600_nan_1975;56_Ezg_Nordex N117/2400_Nordex N117/2400_1975;57_Ezg_Nordex N117/2400_Nordex N117/2400_1975;58_Ezg_Nordex N117/2400_Nordex N117/2400_1975;59_Ezg_Nordex N117/2400_Nordex N117/2400_1975;60_Ezg_Siemens SWT-3.0-113_Siemens SWT 3.0-113_1975;61_Ezg_Siemens SWT-3.0-113_Siemens SWT 3.0-113_1975;62_Ezg_Siemens SWT-3.0-113_Siemens SWT 3.0-113_1975;63_Ezg_Nordex N117/3000_Nordex N117/3000_1975;64_Ezg_Nordex N117/3000_Nordex N117/3000_1975;65_Ezg_Nordex N117/3000_Nordex N117/3000_1975
2019-01-01 00:00:00;4880;4880;228;1464;1464;2542;117;117;469;469;391;391;1564;1564;1564;1564;1564;1564;2542;2218;2218;2218;2218;2218;1955;1955;469;469;469;391;391;391;469;469;469;469;1564;2581;2581;1173;1173;2560;420;391;1564;1564;1564;1564;1564;1564;391;391;391;391;469;469;2218;2218;2218;2218;2440;2440;2440;2542;2542;2542
2019-01-01 01:00:00;4880;4880;228;1464;1464;2542;117;117;469;469;391;391;1564;1564;1564;1564;1564;1564;2542;2218;2218;2218;2218;2218;1955;1955;469;469;469;391;391;391;469;469;469;469;1564;2581;2581;1173;1173;2560;420;391;1564;1564;1564;1564;1564;1564;391;391;391;391;469;469;2218;2218;2218;2218;2440;2440;2440;2542;2542;2542
2019-01-01 02:00:00;5096;5096;238;1528;1528;2654;122;122;490;490;408;408;1633;1633;1633;1633;1633;1633;2654;2316;2316;2316;2316;2316;2041;2041;490;490;490;408;408;408;490;490;490;490;1633;2695;2695;1225;1225;2673;439;408;1633;1633;1633;1633;1633;1633;408;408;408;408;490;490;2316;2316;2316;2316;2548;2548;2548;2654;2654;2654
2019-01-01 03:00:00;5239;5239;245;1571;1571;2729;125;125;503;503;419;419;1679;1679;1679;1679;1679;1679;2729;2381;2381;2381;2381;2381;2099;2099;503;503;503;419;419;419;503;503;503;503;1679;2770;2770;1259;1259;2749;451;419;1679;1679;1679;1679;1679;1679;419;419;419;419;503;503;2381;2381;2381;2381;2619;2619;2619;2729;2729;2729
2019-01-01 04:00:00;6000;6000;270;1800;1800;3000;144;144;579;579;483;483;1932;1932;1932;1932;1932;1932;3000;2400;2400;2400;2400;2400;2415;2415;579;579;579;483;483;483;579;579;579;579;1932;3188;3188;1449;1449;3163;519;483;1932;1932;1932;1932;1932;1932;483;483;483;483;579;579;2400;2400;2400;2400;3000;3000;3000;3000;3000;3000
2019-01-01 05:00:00;5885;5885;270;1765;1765;3000;141;141;565;565;471;471;1886;1886;1886;1886;1886;1886;3000;2400;2400;2400;2400;2400;2358;2358;565;565;565;471;471;471;565;565;565;565;1886;3112;3112;1414;1414;3088;507;471;1886;1886;1886;1886;1886;1886;471;471;471;471;565;565;2400;2400;2400;2400;2942;2942;2942;3000;3000;3000
2019-01-01 06:00:00;5598;5598;262;1679;1679;2915;134;134;538;538;448;448;1794;1794;1794;1794;1794;1794;2915;2400;2400;2400;2400;2400;2243;2243;538;538;538;448;448;448;538;538;538;538;1794;2960;2960;1345;1345;2937;482;448;1794;1794;1794;1794;1794;1794;448;448;448;448;538;538;2400;2400;2400;2400;2799;2799;2799;2915;2915;2915
2019-01-01 07:00:00;6000;6000;270;1800;1800;3000;148;148;593;593;494;494;1978;1978;1978;1978;1978;1978;3000;2400;2400;2400;2400;2400;2473;2473;593;593;593;494;494;494;593;593;593;593;1978;3264;3264;1483;1483;3238;532;494;1978;1978;1978;1978;1978;1978;494;494;494;494;593;593;2400;2400;2400;2400;3000;3000;3000;3000;3000;3000
2019-01-01 08:00:00;6000;6000;270;1800;1800;3000;150;150;600;600;500;500;2000;2000;2000;2000;2000;2000;3000;2400;2400;2400;2400;2400;2500;2500;600;600;600;500;500;500;600;600;600;600;2000;3300;3300;1500;1500;3400;581;500;2000;2000;2000;2000;2000;2000;500;500;500;500;600;600;2400;2400;2400;2400;3000;3000;3000;3000;3000;3000
2019-01-01 09:00:00;5813;5813;270;1744;1744;3000;139;139;559;559;465;465;1863;1863;1863;1863;1863;1863;3000;2400;2400;2400;2400;2400;2329;2329;559;559;559;465;465;465;559;559;559;559;1863;3074;3074;1397;1397;3050;501;465;1863;1863;1863;1863;1863;1863;465;465;465;465;559;559;2400;2400;2400;2400;2906;2906;2906;3000;3000;3000
