Datum;0_Ezg_Enercon-126_Enercon E-70 E4/2000_1975;1_Ezg_Enercon-126_Enercon E-70 E4/2300_1975;2_Ezg_Südwind N3127_Vestas V112/3000_1975;3_Ezg_Enercon E-66/18.70_Vestas V112/3075_1975;4_Ezg_Enercon E-66/18.70_Vestas V112/3300_1975;5_Ezg_Nordex N117/3000_Vestas V112/3450_1975;6_Ezg_Nordex N27/150_Repower 3.2M114_1975;7_Ezg_Nordex N27/150_Enercon E-82/2000_1975;8_Ezg_AN Bonus 600/44_Enercon E-82/2300_1975;9_Ezg_AN Bonus 600/45_Enercon E-82/2350_1975;10_Ezg_Enercon E-40/5.40_Enercon E-82/3000_1975;11_Ezg_Enercon E-40/5.40_Enercon E-115/3000_1975;12_Ezg_Senvion MM100_Enercon E-115/3200_1975;13_Ezg_Senvion MM100_Enercon E-115/4200_1975;14_Ezg_Senvion MM100_Enercon E-101/3050_1975;15_Ezg_Senvion MM100_Senvion 3.4 M104_1975;16_Ezg_Senvion MM100_Senvion 3.4 M114_1975;17_Ezg_Senvion MM100_Senvion 3.4 M122_1975;18_Ezg_Nordex N117/3000_Senvion 3.4 M140_1975;19_Ezg_Nordex N117/2400_Nordex N117/2400_1975;20_Ezg_Nordex N117/2400_Nordex N117/3000_1975;21_Ezg_Nordex N117/2400_Nordex N117/3600_1975;22_Ezg_Nordex N117/2400_REpower MM 82_1975;23_Ezg_Nordex N117/2400_Enercon E-66/1500_1975;24_Ezg_Nordex N100/2500_Enercon E-66/1800_1975;25_Ezg_Nordex N100/2500_Enercon E-66/2000_1975;26_Ezg_Micon M1500-600_Vestas V 66/1650_1975;27_Ezg_Micon M1500-600_Vestas V 66/2000_1975;28_Ezg_Micon M1500-600_Vestas V136/3450_1975;29_Ezg_Enercon E-40/5.40_Vestas V136/4000_1975;30_Ezg_Enercon E-40/5.40_Vestas V136/4200_1975;31_Ezg_Enercon E-40/5.40_REpower 3.4M104_1975;32_Ezg_Enercon E-40/6.44_Senvion 3.2M114_1975;33_Ezg_Enercon E-40/6.44_Senvion 3.2M122_1975;34_Ezg_Enercon E-40/6.44_Vestas V80_1975;35_Ezg_Enercon E-40/6.44_Siemens SWT 3.0-113_1975;36_Ezg_Vestas V90-2MW_Enercon E-138/4200_1975;37_Ezg_Vestas V117-3.3MW_NEG Micon NM 64C/1500_1975;38_Ezg_Vestas V117-3.3MW_NEG Micon NM 72C/1500_1975;39_Ezg_Enercon E-66/15.66_Enercon E-126/3500_1975;40_Ezg_Repower MD77_Enercon E-126/4000_1975;41_Ezg_Repower 3.4M104_Enercon E-126/7500_1975;42_Ezg_Tacke TW 600_Vestas V150/4200_1975;43_Ezg_Enercon E-40/5.40_Vestas V150/5600_1975;44_Ezg_Enercon E-92_Tacke TW 600_1975;45_Ezg_Enercon E-92_Enercon E-70 E4/2600_1975;46_Ezg_Senvion MM100_Enercon E-70 E4/2900_1975;47_Ezg_Senvion MM100_Vestas V112/3000_1975;48_Ezg_Senvion MM100_Vestas V112/3075_1975;49_Ezg_Senvion MM100_Vestas V112/3300_1975;50_Ezg_Enercon E-40/5.40_Vestas V112/3450_1975;51_Ezg_Enercon E-40/5.40_Repower 3.2M115_1975;52_Ezg_Enercon E-40/5.40_Enercon E-82/2000_1975;53_Ezg_Enercon E-40/5.40_Enercon E-82/2300_1975;54_Ezg_NEG Micon NM48/600_Enercon E-82/2350_1975;55_Ezg_NEG Micon NM48/600_Enercon E-82/3000_1975;56_Ezg_Nordex N117/2400_Enercon E-115/3000_1975;57_Ezg_Nordex N117/2400_Enercon E-115/3200_1975;58_Ezg_Nordex N117/2400_Enercon E-115/4200_1975;59_Ezg_Nordex N117/2400_Enercon E-101/3051_1975;60_Ezg_Siemens SWT-3.0-113_Senvion 3.4 M104_1975;61_Ezg_Siemens SWT-3.0-113_Senvion 3.4 M114_1975;62_Ezg_Siemens SWT-3.0-113_Senvion 3.4 M122_1975;63_Ezg_Nordex N117/3000_Senvion 3.4 M140_1975;64_Ezg_Nordex N117/3000_Nordex N117/4200_1975;65_Ezg_Nordex N117/3000_Nordex N117/4800_1975
2020-01-01 00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-01 01:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-01 02:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-01 03:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-01 04:00:00;0;0;0;0;0;0;0;24;0;85;0;86;0;0;307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214;206;0;0;0;0;0;0;0;0;0;0;0;80;0;85;0;417;0;0;0;0;0;0;0;0;0
2020-01-01 05:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-01 06:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-01 07:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-01 08:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-01 09:00:00;0;0;0;0;0;0;0;27;0;98;0;100;0;0;353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;246;237;0;0;0;0;0;0;0;0;0;0;0;92;0;98;0;479;0;0;0;0;0;0;0;0;0
2020-01-01 10:00:00;0;0;0;0;0;0;0;27;0;98;0;100;0;0;353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;246;237;0;0;0;0;0;0;0;0;0;0;0;92;0;98;0;479;0;0;0;0;0;0;0;0;0
2020-01-01 11:00:00;0;0;0;0;0;0;0;27;0;98;0;100;0;0;353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;246;237;0;0;0;0;0;0;0;0;0;0;0;92;0;98;0;479;0;0;0;0;0;0;0;0;0
2020-01-01 12:00:00;1244;1120;0;0;0;0;0;33;0;119;0;121;466;424;430;0;0;0;0;0;0;0;0;516;560;500;0;0;0;0;0;0;0;0;0;0;518;0;0;299;289;0;0;0;0;373;0;0;0;0;0;0;112;0;119;0;584;560;509;0;0;0;0;0;0;0
2020-01-01 13:00:00;1555;1400;72;525;504;807;43;42;175;150;109;152;583;530;538;518;583;560;954;763;700;700;579;646;700;625;0;0;175;145;145;129;175;175;0;0;648;0;888;375;362;721;175;145;482;466;538;538;583;560;134;134;140;145;150;131;730;700;636;646;777;875;840;954;807;807
