Datum;Erzeugung_Wind
2019-01-01 00:00:00;6071582
2019-01-01 01:00:00;5870636
2019-01-01 02:00:00;5628571
2019-01-01 03:00:00;5565177
2019-01-01 04:00:00;5532995
2019-01-01 05:00:00;5887391
2019-01-01 06:00:00;6025986
2019-01-01 07:00:00;6386642
2019-01-01 08:00:00;6497301
2019-01-01 09:00:00;6293523
2019-01-01 10:00:00;6029440
2019-01-01 11:00:00;6013629
2019-01-01 12:00:00;6109129
2019-01-01 13:00:00;5782667
2019-01-01 14:00:00;5600502
2019-01-01 15:00:00;5593977
2019-01-01 16:00:00;5488009
2019-01-01 17:00:00;5612572
2019-01-01 18:00:00;5751457
2019-01-01 19:00:00;5583981
2019-01-01 20:00:00;5582726
2019-01-01 21:00:00;5587792
2019-01-01 22:00:00;5761052
2019-01-01 23:00:00;5645086
2019-01-02 00:00:00;5957258
2019-01-02 01:00:00;5844189
2019-01-02 02:00:00;5919654
2019-01-02 03:00:00;6186571
2019-01-02 04:00:00;6105072
2019-01-02 05:00:00;5946207
2019-01-02 06:00:00;6124213
2019-01-02 07:00:00;6069988
2019-01-02 08:00:00;5871130
2019-01-02 09:00:00;5946770
2019-01-02 10:00:00;6082308
2019-01-02 11:00:00;6237521
2019-01-02 12:00:00;6213151
2019-01-02 13:00:00;6241156
2019-01-02 14:00:00;5832548
2019-01-02 15:00:00;4979172
2019-01-02 16:00:00;4204422
2019-01-02 17:00:00;3650181
2019-01-02 18:00:00;2756681
2019-01-02 19:00:00;2769109
2019-01-02 20:00:00;2338267
2019-01-02 21:00:00;2079713
2019-01-02 22:00:00;1984694
2019-01-02 23:00:00;1559134
2019-01-03 00:00:00;950597
2019-01-03 01:00:00;1015008
2019-01-03 02:00:00;1112682
2019-01-03 03:00:00;954304
2019-01-03 04:00:00;1099142
2019-01-03 05:00:00;1175825
2019-01-03 06:00:00;1449691
2019-01-03 07:00:00;1735238
2019-01-03 08:00:00;1979909
2019-01-03 09:00:00;2037344
2019-01-03 10:00:00;1871085
2019-01-03 11:00:00;1760766
2019-01-03 12:00:00;1884759
2019-01-03 13:00:00;1991809
2019-01-03 14:00:00;1817055
2019-01-03 15:00:00;2320532
2019-01-03 16:00:00;2111320
2019-01-03 17:00:00;2225180
2019-01-03 18:00:00;2134322
2019-01-03 19:00:00;2454584
2019-01-03 20:00:00;2093172
2019-01-03 21:00:00;2320526
2019-01-03 22:00:00;2256573
2019-01-03 23:00:00;2915710
2019-01-04 00:00:00;3214280
2019-01-04 01:00:00;3644757
2019-01-04 02:00:00;3756078
2019-01-04 03:00:00;3933369
2019-01-04 04:00:00;4660531
2019-01-04 05:00:00;4889705
