Datum;0_Ezg_Enercon-126_Enercon E-70 E4/2000;1_Ezg_Enercon-126_Enercon E-70 E4/2000;2_Ezg_SÃ¼dwind N3127_Enercon E-70 E4/2000;3_Ezg_Enercon E-66/18.70_Enercon E-70 E4/2000;4_Ezg_Enercon E-66/18.70_Enercon E-70 E4/2000;5_Ezg_Nordex N117/3000_Enercon E-70 E4/2000;6_Ezg_Nordex N27/150_Enercon E-70 E4/2000;7_Ezg_Nordex N27/150_Enercon E-70 E4/2000;8_Ezg_AN Bonus 600/44_Enercon E-70 E4/2000;9_Ezg_AN Bonus 600/45_Enercon E-70 E4/2000;10_Ezg_Enercon E-40/5.40_Enercon E-70 E4/2000;11_Ezg_Enercon E-40/5.40_Enercon E-70 E4/2000;12_Ezg_Senvion MM100_Enercon E-70 E4/2000;13_Ezg_Senvion MM100_Enercon E-70 E4/2000;14_Ezg_Senvion MM100_Enercon E-70 E4/2000;15_Ezg_Senvion MM100_Enercon E-70 E4/2000;16_Ezg_Senvion MM100_Enercon E-70 E4/2000;17_Ezg_Senvion MM100_Enercon E-70 E4/2000;18_Ezg_Nordex N117/3000_Enercon E-70 E4/2000;19_Ezg_Nordex N117/2400_Enercon E-70 E4/2000;20_Ezg_Nordex N117/2400_Enercon E-70 E4/2000;21_Ezg_Nordex N117/2400_Enercon E-70 E4/2000;22_Ezg_Nordex N117/2400_Enercon E-70 E4/2000;23_Ezg_Nordex N117/2400_Enercon E-70 E4/2000;24_Ezg_Nordex N100/2500_Enercon E-70 E4/2000;25_Ezg_Nordex N100/2500_Enercon E-70 E4/2000;26_Ezg_Micon M1500-600_Enercon E-70 E4/2000;27_Ezg_Micon M1500-600_Enercon E-70 E4/2000;28_Ezg_Micon M1500-600_Enercon E-70 E4/2000;29_Ezg_Enercon E-40/5.40_Enercon E-70 E4/2000;30_Ezg_Enercon E-40/5.40_Enercon E-70 E4/2000;31_Ezg_Enercon E-40/5.40_Enercon E-70 E4/2000;32_Ezg_Enercon E-40/6.44_Enercon E-70 E4/2000;33_Ezg_Enercon E-40/6.44_Enercon E-70 E4/2000;34_Ezg_Enercon E-40/6.44_Enercon E-70 E4/2000;35_Ezg_Enercon E-40/6.44_Enercon E-70 E4/2000;36_Ezg_Vestas V90-2MW_Enercon E-70 E4/2000;37_Ezg_Vestas V117-3.3MW_Enercon E-70 E4/2000;38_Ezg_Vestas V117-3.3MW_Enercon E-70 E4/2000;39_Ezg_Enercon E-66/15.66_Enercon E-70 E4/2000;40_Ezg_Repower MD77_Enercon E-70 E4/2000;41_Ezg_Repower 3.4M104_Enercon E-70 E4/2000;42_Ezg_Tacke TW 600_Enercon E-70 E4/2000;43_Ezg_Enercon E-40/5.40_Enercon E-70 E4/2000;44_Ezg_Enercon E-92_Enercon E-70 E4/2000;45_Ezg_Enercon E-92_Enercon E-70 E4/2000;46_Ezg_Senvion MM100_Enercon E-70 E4/2000;47_Ezg_Senvion MM100_Enercon E-70 E4/2000;48_Ezg_Senvion MM100_Enercon E-70 E4/2000;49_Ezg_Senvion MM100_Enercon E-70 E4/2000;50_Ezg_Enercon E-40/5.40_Enercon E-70 E4/2000;51_Ezg_Enercon E-40/5.40_Enercon E-70 E4/2000;52_Ezg_Enercon E-40/5.40_Enercon E-70 E4/2000;53_Ezg_Enercon E-40/5.40_Enercon E-70 E4/2000;54_Ezg_NEG Micon NM48/600_Enercon E-70 E4/2000;55_Ezg_NEG Micon NM48/600_Enercon E-70 E4/2000;56_Ezg_Nordex N117/2400_Enercon E-70 E4/2000;57_Ezg_Nordex N117/2400_Enercon E-70 E4/2000;58_Ezg_Nordex N117/2400_Enercon E-70 E4/2000;59_Ezg_Nordex N117/2400_Enercon E-70 E4/2000;60_Ezg_Siemens SWT-3.0-113_Enercon E-70 E4/2000;61_Ezg_Siemens SWT-3.0-113_Enercon E-70 E4/2000;62_Ezg_Siemens SWT-3.0-113_Enercon E-70 E4/2000;63_Ezg_Nordex N117/3000_Enercon E-70 E4/2000;64_Ezg_Nordex N117/3000_Enercon E-70 E4/2000;65_Ezg_Nordex N117/3000_Enercon E-70 E4/2000
2019-01-01 00:00:00;2755;2755;136;826;826;1377;68;68;302;302;251;251;1007;1007;1007;1007;1007;1007;1511;1208;1208;1208;1208;1102;1148;1148;275;275;275;229;229;229;275;275;275;275;918;1515;1515;688;688;1561;302;251;1007;1007;1007;1007;1007;1007;229;229;229;229;275;275;1102;1102;1102;1102;1377;1377;1377;1377;1377;1377
2019-01-01 01:00:00;2711;2711;136;813;813;1355;67;67;302;302;251;251;1007;1007;1007;1007;1007;1007;1511;1208;1208;1208;1208;1084;1129;1129;271;271;271;225;225;225;271;271;271;271;903;1491;1491;677;677;1536;302;251;1007;1007;1007;1007;1007;1007;225;225;225;225;271;271;1084;1084;1084;1084;1355;1355;1355;1355;1355;1355
2019-01-01 02:00:00;2844;2844;142;853;853;1422;71;71;315;315;262;262;1051;1051;1051;1051;1051;1051;1577;1262;1262;1262;1262;1137;1185;1185;284;284;284;237;237;237;284;284;284;284;948;1564;1564;711;711;1611;315;262;1051;1051;1051;1051;1051;1051;237;237;237;237;284;284;1137;1137;1137;1137;1422;1422;1422;1422;1422;1422
2019-01-01 03:00:00;2977;2977;146;893;893;1488;74;74;324;324;270;270;1081;1081;1081;1081;1081;1081;1622;1297;1297;1297;1297;1191;1240;1240;297;297;297;248;248;248;297;297;297;297;992;1637;1637;744;744;1687;324;270;1081;1081;1081;1081;1081;1081;248;248;248;248;297;297;1191;1191;1191;1191;1488;1488;1488;1488;1488;1488
2019-01-01 04:00:00;3422;3422;168;1026;1026;1711;85;85;373;373;311;311;1244;1244;1244;1244;1244;1244;1866;1493;1493;1493;1493;1368;1425;1425;342;342;342;285;285;285;342;342;342;342;1140;1882;1882;855;855;1939;373;311;1244;1244;1244;1244;1244;1244;285;285;285;285;342;342;1368;1368;1368;1368;1711;1711;1711;1711;1711;1711
2019-01-01 05:00:00;3422;3422;164;1026;1026;1711;85;85;364;364;303;303;1214;1214;1214;1214;1214;1214;1822;1457;1457;1457;1457;1368;1425;1425;342;342;342;285;285;285;342;342;342;342;1140;1882;1882;855;855;1939;364;303;1214;1214;1214;1214;1214;1214;285;285;285;285;342;342;1368;1368;1368;1368;1711;1711;1711;1711;1711;1711
2019-01-01 06:00:00;3688;3688;156;1106;1106;1844;92;92;346;346;288;288;1155;1155;1155;1155;1155;1155;1733;1386;1386;1386;1386;1475;1537;1537;368;368;368;307;307;307;368;368;368;368;1229;2028;2028;922;922;2090;346;288;1155;1155;1155;1155;1155;1155;307;307;307;307;368;368;1475;1475;1475;1475;1844;1844;1844;1844;1844;1844
2019-01-01 07:00:00;4088;4088;172;1226;1226;2044;102;102;382;382;318;318;1274;1274;1274;1274;1274;1274;1911;1528;1528;1528;1528;1635;1703;1703;408;408;408;340;340;340;408;408;408;408;1362;2248;2248;1022;1022;2317;382;318;1274;1274;1274;1274;1274;1274;340;340;340;340;408;408;1635;1635;1635;1635;2044;2044;2044;2044;2044;2044
2019-01-01 08:00:00;3822;3822;188;1146;1146;1911;95;95;417;417;348;348;1392;1392;1392;1392;1392;1392;2088;1671;1671;1671;1671;1528;1592;1592;382;382;382;318;318;318;382;382;382;382;1274;2102;2102;955;955;2165;417;348;1392;1392;1392;1392;1392;1392;318;318;318;318;382;382;1528;1528;1528;1528;1911;1911;1911;1911;1911;1911
2019-01-01 09:00:00;3377;3377;162;1013;1013;1688;84;84;359;359;300;300;1200;1200;1200;1200;1200;1200;1800;1439;1439;1439;1439;1351;1407;1407;337;337;337;281;281;281;337;337;337;337;1125;1857;1857;844;844;1914;359;300;1200;1200;1200;1200;1200;1200;281;281;281;281;337;337;1351;1351;1351;1351;1688;1688;1688;1688;1688;1688
2019-01-01 10:00:00;3511;3511;172;1053;1053;1755;87;87;382;382;318;318;1274;1274;1274;1274;1274;1274;1911;1528;1528;1528;1528;1404;1462;1462;351;351;351;292;292;292;351;351;351;351;1170;1931;1931;877;877;1989;382;318;1274;1274;1274;1274;1274;1274;292;292;292;292;351;351;1404;1404;1404;1404;1755;1755;1755;1755;1755;1755
2019-01-01 11:00:00;3777;3777;196;1133;1133;1888;94;94;435;435;362;362;1451;1451;1451;1451;1451;1451;2177;1742;1742;1742;1742;1511;1574;1574;377;377;377;314;314;314;377;377;377;377;1259;2077;2077;944;944;2140;435;362;1451;1451;1451;1451;1451;1451;314;314;314;314;377;377;1511;1511;1511;1511;1888;1888;1888;1888;1888;1888
2019-01-01 12:00:00;3866;3866;214;1160;1160;1933;96;96;475;475;396;396;1585;1585;1585;1585;1585;1585;2377;1902;1902;1902;1902;1546;1611;1611;386;386;386;322;322;322;386;386;386;386;1288;2126;2126;966;966;2191;475;396;1585;1585;1585;1585;1585;1585;322;322;322;322;386;386;1546;1546;1546;1546;1933;1933;1933;1933;1933;1933
2019-01-01 13:00:00;4444;4444;220;1333;1333;2222;111;111;488;488;407;407;1629;1629;1629;1629;1629;1629;2444;1955;1955;1955;1955;1777;1851;1851;444;444;444;370;370;370;444;444;444;444;1481;2444;2444;1111;1111;2518;488;407;1629;1629;1629;1629;1629;1629;370;370;370;370;444;444;1777;1777;1777;1777;2222;2222;2222;2222;2222;2222
2019-01-01 14:00:00;4266;4266;220;1280;1280;2133;106;106;488;488;407;407;1629;1629;1629;1629;1629;1629;2444;1955;1955;1955;1955;1706;1777;1777;426;426;426;355;355;355;426;426;426;426;1422;2346;2346;1066;1066;2417;488;407;1629;1629;1629;1629;1629;1629;355;355;355;355;426;426;1706;1706;1706;1706;2133;2133;2133;2133;2133;2133
2019-01-01 15:00:00;3911;3911;192;1173;1173;1955;97;97;426;426;355;355;1422;1422;1422;1422;1422;1422;2133;1706;1706;1706;1706;1564;1629;1629;391;391;391;325;325;325;391;391;391;391;1303;2151;2151;977;977;2216;426;355;1422;1422;1422;1422;1422;1422;325;325;325;325;391;391;1564;1564;1564;1564;1955;1955;1955;1955;1955;1955
2019-01-01 16:00:00;4311;4311;232;1293;1293;2155;107;107;515;515;429;429;1718;1718;1718;1718;1718;1718;2577;2062;2062;2062;2062;1724;1796;1796;431;431;431;359;359;359;431;431;431;431;1437;2371;2371;1077;1077;2442;515;429;1718;1718;1718;1718;1718;1718;359;359;359;359;431;431;1724;1724;1724;1724;2155;2155;2155;2155;2155;2155
2019-01-01 17:00:00;4088;4088;238;1226;1226;2044;102;102;528;528;440;440;1762;1762;1762;1762;1762;1762;2644;2115;2115;2115;2115;1635;1703;1703;408;408;408;340;340;340;408;408;408;408;1362;2248;2248;1022;1022;2317;528;440;1762;1762;1762;1762;1762;1762;340;340;340;340;408;408;1635;1635;1635;1635;2044;2044;2044;2044;2044;2044
2019-01-01 18:00:00;4222;4222;238;1266;1266;2111;105;105;528;528;440;440;1762;1762;1762;1762;1762;1762;2644;2115;2115;2115;2115;1688;1759;1759;422;422;422;351;351;351;422;422;422;422;1407;2322;2322;1055;1055;2392;528;440;1762;1762;1762;1762;1762;1762;351;351;351;351;422;422;1688;1688;1688;1688;2111;2111;2111;2111;2111;2111
2019-01-01 19:00:00;3911;3911;216;1173;1173;1955;97;97;480;480;400;400;1600;1600;1600;1600;1600;1600;2400;1920;1920;1920;1920;1564;1629;1629;391;391;391;325;325;325;391;391;391;391;1303;2151;2151;977;977;2216;480;400;1600;1600;1600;1600;1600;1600;325;325;325;325;391;391;1564;1564;1564;1564;1955;1955;1955;1955;1955;1955
2019-01-01 20:00:00;3866;3866;224;1160;1160;1933;96;96;497;497;414;414;1659;1659;1659;1659;1659;1659;2488;1991;1991;1991;1991;1546;1611;1611;386;386;386;322;322;322;386;386;386;386;1288;2126;2126;966;966;2191;497;414;1659;1659;1659;1659;1659;1659;322;322;322;322;386;386;1546;1546;1546;1546;1933;1933;1933;1933;1933;1933
2019-01-01 21:00:00;4133;4133;222;1240;1240;2066;103;103;493;493;411;411;1644;1644;1644;1644;1644;1644;2466;1973;1973;1973;1973;1653;1722;1722;413;413;413;344;344;344;413;413;413;413;1377;2273;2273;1033;1033;2342;493;411;1644;1644;1644;1644;1644;1644;344;344;344;344;413;413;1653;1653;1653;1653;2066;2066;2066;2066;2066;2066
2019-01-01 22:00:00;3733;3733;220;1120;1120;1866;93;93;488;488;407;407;1629;1629;1629;1629;1629;1629;2444;1955;1955;1955;1955;1493;1555;1555;373;373;373;311;311;311;373;373;373;373;1244;2053;2053;933;933;2115;488;407;1629;1629;1629;1629;1629;1629;311;311;311;311;373;373;1493;1493;1493;1493;1866;1866;1866;1866;1866;1866
2019-01-01 23:00:00;3244;3244;188;973;973;1622;81;81;417;417;348;348;1392;1392;1392;1392;1392;1392;2088;1671;1671;1671;1671;1297;1351;1351;324;324;324;270;270;270;324;324;324;324;1081;1784;1784;811;811;1838;417;348;1392;1392;1392;1392;1392;1392;270;270;270;270;324;324;1297;1297;1297;1297;1622;1622;1622;1622;1622;1622
2019-01-02 00:00:00;2666;2666;154;800;800;1333;66;66;342;342;285;285;1140;1140;1140;1140;1140;1140;1711;1368;1368;1368;1368;1066;1111;1111;266;266;266;222;222;222;266;266;266;266;888;1466;1466;666;666;1511;342;285;1140;1140;1140;1140;1140;1140;222;222;222;222;266;266;1066;1066;1066;1066;1333;1333;1333;1333;1333;1333
2019-01-02 01:00:00;2400;2400;140;720;720;1200;60;60;311;311;259;259;1037;1037;1037;1037;1037;1037;1555;1244;1244;1244;1244;960;1000;1000;240;240;240;200;200;200;240;240;240;240;800;1320;1320;600;600;1360;311;259;1037;1037;1037;1037;1037;1037;200;200;200;200;240;240;960;960;960;960;1200;1200;1200;1200;1200;1200
2019-01-02 02:00:00;2577;2577;160;773;773;1288;64;64;355;355;296;296;1185;1185;1185;1185;1185;1185;1777;1422;1422;1422;1422;1031;1074;1074;257;257;257;214;214;214;257;257;257;257;859;1417;1417;644;644;1460;355;296;1185;1185;1185;1185;1185;1185;214;214;214;214;257;257;1031;1031;1031;1031;1288;1288;1288;1288;1288;1288
