Datum;SummeGruen
2020-01-01 00:00:00;890424
2020-01-01 01:00:00;1400672
2020-01-01 02:00:00;1624467
2020-01-01 03:00:00;1526350
2020-01-01 04:00:00;1796396
2020-01-01 05:00:00;1959685
2020-01-01 06:00:00;1922490
2020-01-01 07:00:00;1911025
2020-01-01 08:00:00;1836813
2020-01-01 09:00:00;1976064
2020-01-01 10:00:00;2109025
2020-01-01 11:00:00;2150387
2020-01-01 12:00:00;2279579
2020-01-01 13:00:00;2293501
2020-01-01 14:00:00;2120860
2020-01-01 15:00:00;1973772
2020-01-01 16:00:00;2126741
2020-01-01 17:00:00;2021291
2020-01-01 18:00:00;2278659
2020-01-01 19:00:00;2466360
2020-01-01 20:00:00;2386123
2020-01-01 21:00:00;2342959
2020-01-01 22:00:00;2256246
2020-01-01 23:00:00;2159627
2020-01-02 00:00:00;2284998
2020-01-02 01:00:00;2474546
2020-01-02 02:00:00;2521621
2020-01-02 03:00:00;2582530
2020-01-02 04:00:00;2380688
2020-01-02 05:00:00;2443575
2020-01-02 06:00:00;2519717
2020-01-02 07:00:00;2698695
2020-01-02 08:00:00;2668334
2020-01-02 09:00:00;2652725
2020-01-02 10:00:00;2834761
2020-01-02 11:00:00;2876720
2020-01-02 12:00:00;3036464
2020-01-02 13:00:00;3360679
2020-01-02 14:00:00;3694756
2020-01-02 15:00:00;3610320
2020-01-02 16:00:00;3356715
2020-01-02 17:00:00;3309346
2020-01-02 18:00:00;3368648
2020-01-02 19:00:00;3403013
2020-01-02 20:00:00;3442237
2020-01-02 21:00:00;3449736
2020-01-02 22:00:00;3894800
2020-01-02 23:00:00;3810705
2020-01-03 00:00:00;3863480
2020-01-03 01:00:00;4021815
2020-01-03 02:00:00;4077542
2020-01-03 03:00:00;4057228
2020-01-03 04:00:00;4105870
2020-01-03 05:00:00;4035422
2020-01-03 06:00:00;3996386
2020-01-03 07:00:00;4046526
2020-01-03 08:00:00;3973015
2020-01-03 09:00:00;3961752
2020-01-03 10:00:00;3945963
2020-01-03 11:00:00;3840101
2020-01-03 12:00:00;3515716
2020-01-03 13:00:00;3124821
2020-01-03 14:00:00;2754048
2020-01-03 15:00:00;2210675
2020-01-03 16:00:00;1582751
2020-01-03 17:00:00;1862834
2020-01-03 18:00:00;2114132
2020-01-03 19:00:00;2253432
2020-01-03 20:00:00;2478660
2020-01-03 21:00:00;2800834
2020-01-03 22:00:00;2981652
2020-01-03 23:00:00;3145863
2020-01-04 00:00:00;3306182
2020-01-04 01:00:00;3643153
2020-01-04 02:00:00;3785392
2020-01-04 03:00:00;3968634
2020-01-04 04:00:00;4198554
2020-01-04 05:00:00;4214257
2020-01-04 06:00:00;4258331
2020-01-04 07:00:00;4346619
