Datum;Erzeugung_Enercon-126_Enercon E-70 E4/2000;Erzeugung_SÃ¼dwind N3127_Enercon E-70 E4/2000;Erzeugung_Enercon E-66/18.70_Enercon E-70 E4/2000;Erzeugung_Nordex N117/3000_Enercon E-70 E4/2000;Erzeugung_Nordex N27/150_Enercon E-70 E4/2000;Erzeugung_AN Bonus 600/44_Enercon E-70 E4/2000;Erzeugung_AN Bonus 600/45_Enercon E-70 E4/2000;Erzeugung_Enercon E-40/5.40_Enercon E-70 E4/2000;Erzeugung_Senvion MM100_Enercon E-70 E4/2000;Erzeugung_Nordex N117/2400_Enercon E-70 E4/2000;Erzeugung_Nordex N100/2500_Enercon E-70 E4/2000;Erzeugung_Micon M1500-600_Enercon E-70 E4/2000;Erzeugung_Enercon E-40/6.44_Enercon E-70 E4/2000;Erzeugung_Vestas V90-2MW_Enercon E-70 E4/2000;Erzeugung_Vestas V117-3.3MW_Enercon E-70 E4/2000;Erzeugung_Enercon E-66/15.66_Enercon E-70 E4/2000;Erzeugung_Repower MD77_Enercon E-70 E4/2000;Erzeugung_Repower 3.4M104_Enercon E-70 E4/2000;Erzeugung_Tacke TW 600_Enercon E-70 E4/2000;Erzeugung_Enercon E-92_Enercon E-70 E4/2000;Erzeugung_NEG Micon NM48/600_Enercon E-70 E4/2000;Erzeugung_Siemens SWT-3.0-113_Enercon E-70 E4/2000
2019-01-01 00:00:00;2755;136;826;1377;68;302;302;229;1007;1102;1148;275;275;918;1515;688;688;1561;302;1007;275;1377
2019-01-01 01:00:00;2711;136;813;1355;67;302;302;225;1007;1084;1129;271;271;903;1491;677;677;1536;302;1007;271;1355
2019-01-01 02:00:00;2844;142;853;1422;71;315;315;237;1051;1137;1185;284;284;948;1564;711;711;1611;315;1051;284;1422
2019-01-01 03:00:00;2977;146;893;1488;74;324;324;248;1081;1191;1240;297;297;992;1637;744;744;1687;324;1081;297;1488
2019-01-01 04:00:00;3422;168;1026;1711;85;373;373;285;1244;1368;1425;342;342;1140;1882;855;855;1939;373;1244;342;1711
2019-01-01 05:00:00;3422;164;1026;1711;85;364;364;285;1214;1368;1425;342;342;1140;1882;855;855;1939;364;1214;342;1711
2019-01-01 06:00:00;3688;156;1106;1844;92;346;346;307;1155;1475;1537;368;368;1229;2028;922;922;2090;346;1155;368;1844
2019-01-01 07:00:00;4088;172;1226;2044;102;382;382;340;1274;1635;1703;408;408;1362;2248;1022;1022;2317;382;1274;408;2044
2019-01-01 08:00:00;3822;188;1146;1911;95;417;417;318;1392;1528;1592;382;382;1274;2102;955;955;2165;417;1392;382;1911
2019-01-01 09:00:00;3377;162;1013;1688;84;359;359;281;1200;1351;1407;337;337;1125;1857;844;844;1914;359;1200;337;1688
2019-01-01 10:00:00;3511;172;1053;1755;87;382;382;292;1274;1404;1462;351;351;1170;1931;877;877;1989;382;1274;351;1755
2019-01-01 11:00:00;3777;196;1133;1888;94;435;435;314;1451;1511;1574;377;377;1259;2077;944;944;2140;435;1451;377;1888
2019-01-01 12:00:00;3866;214;1160;1933;96;475;475;322;1585;1546;1611;386;386;1288;2126;966;966;2191;475;1585;386;1933
2019-01-01 13:00:00;4444;220;1333;2222;111;488;488;370;1629;1777;1851;444;444;1481;2444;1111;1111;2518;488;1629;444;2222
2019-01-01 14:00:00;4266;220;1280;2133;106;488;488;355;1629;1706;1777;426;426;1422;2346;1066;1066;2417;488;1629;426;2133
2019-01-01 15:00:00;3911;192;1173;1955;97;426;426;325;1422;1564;1629;391;391;1303;2151;977;977;2216;426;1422;391;1955
2019-01-01 16:00:00;4311;232;1293;2155;107;515;515;359;1718;1724;1796;431;431;1437;2371;1077;1077;2442;515;1718;431;2155
2019-01-01 17:00:00;4088;238;1226;2044;102;528;528;340;1762;1635;1703;408;408;1362;2248;1022;1022;2317;528;1762;408;2044
2019-01-01 18:00:00;4222;238;1266;2111;105;528;528;351;1762;1688;1759;422;422;1407;2322;1055;1055;2392;528;1762;422;2111
2019-01-01 19:00:00;3911;216;1173;1955;97;480;480;325;1600;1564;1629;391;391;1303;2151;977;977;2216;480;1600;391;1955
2019-01-01 20:00:00;3866;224;1160;1933;96;497;497;322;1659;1546;1611;386;386;1288;2126;966;966;2191;497;1659;386;1933
2019-01-01 21:00:00;4133;222;1240;2066;103;493;493;344;1644;1653;1722;413;413;1377;2273;1033;1033;2342;493;1644;413;2066
2019-01-01 22:00:00;3733;220;1120;1866;93;488;488;311;1629;1493;1555;373;373;1244;2053;933;933;2115;488;1629;373;1866
2019-01-01 23:00:00;3244;188;973;1622;81;417;417;270;1392;1297;1351;324;324;1081;1784;811;811;1838;417;1392;324;1622
2019-01-02 00:00:00;2666;154;800;1333;66;342;342;222;1140;1066;1111;266;266;888;1466;666;666;1511;342;1140;266;1333
2019-01-02 01:00:00;2400;140;720;1200;60;311;311;200;1037;960;1000;240;240;800;1320;600;600;1360;311;1037;240;1200
