Wetterstation;ID;Koordinaten;Höhe (m über NN);TrueOrFalse
Büsum;788;54.119300, 8.858400;3;True
Elpersbüttel;1200;54.069100, 9.010500;3;True
Erfde;1266;54.299200, 9.316200;18;False
Flensburg (Schäferhaus);1379;54.773700, 9.375200;41;True
Glücksburg-Meierwik;1666;54.827300, 9.505800;11,72;False
Grambek;1736;53.573100, 10.679700;27;False
Hallig Hooge;1963;54.574200, 8.513300;4;True
Helgoland-Düne;2100;54.186000, 7.911900;4,06;True
Helgoland;2115;54.175000, 7.892000;4,36;True
Hohn;2303;54.316200, 9.538500;10;False
Hohwacht;2306;54.319400, 10.673200;8;False
Itzehoe;2429;53.989700, 9.569600;21;True
Schleswig-Jagel;2437;54.457000, 9.520300;21,3;False
Kiel-Holtenau;2564;54.377600, 10.142400;28,41;True
Leck;2907;54.790300, 8.951400;7;True
Leuchtturm Kiel;2961;54.499600, 10.273700;30,75;True
List auf Sylt;3032;55.011000, 8.412500;24,7;True
Lübeck-Blankensee;3086;53.802500, 10.698900;14,74;True
Pelzerhaken;3897;54.089300, 10.877300;2,18;True
Quickborn;4039;53.733100, 9.877600;10,99;True
Sankt Peter-Ording;4393;54.327900, 8.603100;4,88;True
Schleswig;4466;54.527500, 9.548700;42,7;True
Wagersrott;4896;54.665400, 9.805000;40;False
Strucklahnungshörn;4919;54.496500, 8.806900;7;True
Travemünde;5078;53.961900, 10.889200;2,3;True
Wittenborn;5280;53.922400, 10.226700;35;False
Fehmarn;5516;54.528300, 11.060600;3;True
Putlos;5877;54.316000, 10.800200;5;True
Schönhagen (Ostseebad);5930;54.641000, 10.023800;0,79;True
Ostenfeld (Rendsburg);6105;54.319400, 9.805100;14;False
Dörnick;6163;54.165400, 10.351900;27;True
Hattstedt;7298;54.526800, 9.042500;5;False
Padenstedt (Pony-Park);7427;54.018800, 9.925500;16,5;False
Hasenkrug-Hardebek;19171;54.003800, 9.855300;13;True
Wacken;19172;54.024600, 9.388000;48;False
