Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname;Bundesland;TrueOrFalse
1200;20070207;20211109;3;54.0691;9.0105;Elpersbüttel;Schleswig-Holstein;False
1975;19490101;20211109;11;53.6332;9.9881;Hamburg-Fuhlsbüttel;Hamburg;True
2115;19510101;20211109;4;54.175;7.892;Helgoland;Schleswig-Holstein;False
2907;19710101;20211109;7;54.7903;8.9514;Leck;Schleswig-Holstein;False
2961;20040513;20211109;31;54.4996;10.2737;Leuchtturm;Schleswig-Holstein;False
3032;19510101;20211109;25;55.011;8.4125;List;Schleswig-Holstein;True
3086;19850301;20211109;15;53.8025;10.6989;Lübeck-Blankensee;Schleswig-Holstein;False
4393;19510101;20211109;5;54.3279;8.6031;Sankt Peter-Ording;Schleswig-Holstein;True
4466;19510101;20211109;43;54.5275;9.5487;Schleswig;Schleswig-Holstein;True
5516;19960531;20211109;3;54.5283;11.0606;Fehmarn;Schleswig-Holstein;False
5930;19740101;20211109;1;54.641;10.0238;Schönhagen;Schleswig-Holstein;False
6105;20040501;20211109;14;54.3194;9.8051;Ostenfeld;Schleswig-Holstein;False
6163;20010401;20211109;27;54.1654;10.3519;Dörnick;Schleswig-Holstein;False
7298;20050701;20211109;5;54.5268;9.0425;Hattstedt;Schleswig-Holstein;False
