Datum;SH_Netze_;HH_NETZ_Hamburg;STW Nordfriesland_Niebüll;STW Nordfriesland Netz_Leck;STW Nordfriesland Netz_Bredstedt;EX Satrup H.N. Clausen_;STW Husum Netz_Husum;Schleswig STW_Schleswig;Stw Eckernförde_Eckernförde;STW Heide _Heide; GETEC net_;Stw Rendsburg_Rendsburg;stw Nortorf_Nortorf;stw Itzehoe_Itzehoe;stw Wilster_Wilster;stw Brunsbüttel_Brunsbüttel;Covestro Brunsbüttel Energie_Covestro Brunsbüttel Energie;Stw Glückstadt_Glückstadt;Stw Elmshorn_Elmshorn;Stw Wedel_Wedel;Stw Barmstedt_Barmstedt;Stw Tornesch netz_Tornesch;Stw Pinneberg_Pinneberg;Stw Quickborn_Quickborn;Stw Norderstedt_Norderstedt;Stw Kaltenkirchen_Kaltenkirchen;STw Bad Bramstedt netz_Bad Bramstedt;e-Werk Sachsenwald Reinbeck_Reinbeck;Stw Geesthacht_Geesthacht;Vers. Betr. Elbe_Boizenburg;Vers. Betr. Elbe_Amt Lütau;Vereinigte Stadtwerke Netz OD z.b._Mölln, Ratzeburg, BadOldesloe, Nusse, Reinfeld;Energieversorgung Sylt_Sylt;ews-Netz_Bad Segeberg;TraveNetz_Travemünde;Westnetz (scharbeutz)_Scharbeutz;Stw Neustadt in Holstein_Neustadt;Stw Oldenburg in Holstein_Oldenburg;Versorgungsbetr. Bordesholm_Bordesholm;SW Kiel Netz_Kiel;Stw Schwentinental_Schwentinental;Gemeine Schönkirchen_Schönkirchen;Gemeinde Heikendorf_Heikendorf;Versorgungsbetr. Kronshagen_Kronshagen;Flensburg _Flensburg 
01.01.2019 00:00;363568,5;1090334;8330,5;4933,25;4206,5;408;13588;5777,369;13588;5225;109,34;5661,361507;2081,75;17596,23;1137,457;13409,97;7842,293936;2869,407;16048,06;10613,2674;4.928;4.928;10830,75;21750,52;3969,135;9406,5;5804,22725;3969,135;22.608;8002,992;0;15488,78;693,3353;15382,39;68054,65;7842,293936;5804,22725;3969,135;6664,25;105190;10.246,33;3969,135;1926,582;1114,61703;7817,153
01.01.2019 01:00;336078,8;1070679;7929,25;4539,75;3863;456;12736,5;5350,574;12736,5;5735;95,21;5218,292544;2009,25;16838,7;1040,841;12789,93;7597,480008;2683,268;12490,77;9954,570707;4.731;4.731;10206,91;20110,19;3713,947;9235,75;4956,89475;3713,947;21.086;7790,072;0;14726,7;664,3133;14576,54;64954,19;7597,480008;4956,89475;3713,947;6225;100432,5;9.532,52;3713,947;1879,3;1015,108263;7267,503
01.01.2019 02:00;308380;1020787;7445,25;4063;3507;300;10907,5;5008,606;10907,5;6065;94,6;4765,762507;1834;16085,46;982,974;13782,63;7022,349083;2772,369;11405,31;8849,669969;4.455;4.455;9300,612;18427,42;3375,168;8486,25;4635,56175;3375,168;19.514;7380,179;0;13843,23;540,0981;13731,1;60801,24;7022,349083;4635,56175;3375,168;5750,75;94645;8.941,37;3375,168;1749,159;935,3143317;6650,583
01.01.2019 03:00;293082,5;985772;7047,5;3914,75;3294,75;216;10596,5;4776,672;10596,5;6265;94,69;4491,41083;1833;15950,33;945,6259;13989,67;6560,566248;2525,525;10615,75;8086,033743;4.233;4.233;8599,599;17239,6;3081,826;8430,75;4530,75025;3081,826;18.935;6977,245;0;13542,16;435,4911;13240,69;58628,81;6560,566248;4530,75025;3081,826;5519,25;90897,5;8.363,06;3081,826;1647,679;889,1535232;6235,733
01.01.2019 04:00;290541,8;976324,3;6972,25;3773,25;3326,5;192;10089,5;4787,639;10089,5;6850;93,81;4428,951136;1717,75;15919,35;922,6757;13911,87;6415,936718;2359,259;10565,12;7606,313525;4.143;4.143;8222,326;16885,26;2900,643;8469,75;4475,571;2900,643;18.166;6935,544;0;13678,74;384,4197;13146,41;58729,93;6415,936718;4475,571;2900,643;5536,5;89530;7.968,12;2900,643;1584,6;853,5493328;6121,202
01.01.2019 05:00;298057,5;974496,8;7129,75;3910;3483,25;96;10170,5;4948,491;10170,5;6710;92,46;4684,795368;1758;16022,62;939,1516;14324,28;6702,509232;2424,093;10541,53;7767,402186;4.114;4.114;8204,611;17360,54;2886,41;8440,25;4693,28775;2886,41;18.031;7079,777;0;13539,03;400,4421;13408,73;59374,05;6702,509232;4693,28775;2886,41;5525,25;89895;8.004,71;2886,41;1507,943;889,1059926;6332,144
01.01.2019 06:00;301646,3;1002808;7601,5;3994,25;3535,75;120;9996,75;5216,088;9996,75;7215;91,44;5064,40286;1773,75;16556,71;983,6542;13946,36;6973,047407;2406,772;10718,28;8038,383465;4.266;4.266;8279,143;17671,27;2870,136;8605,875;4135,948;2870,136;17.976;7181,899;0;13925,07;446,266;13619,45;59062,32;6973,047407;4135,948;2870,136;5292,75;90845;8.433,85;2870,136;1514,739;955,0492513;6435,105
01.01.2019 07:00;308461,8;1045799;8212,75;4190,75;3707,25;144;10288;5580,963;10288;7985;88,67;5354,125602;1833;17245,07;1091,011;14385,36;7326,902904;2583,505;10566,8;8259,546265;4.302;4.302;8609,478;18411,79;2994,898;9136,5;4595,39875;2994,898;18.321;7637,321;0;14563,66;477,5277;14175,25;62683,79;7326,902904;4595,39875;2994,898;5527,5;94480;8.964,23;2994,898;1557,442;1046,666616;6689,592
01.01.2019 08:00;327918;1073990;8686;4550,25;3911,75;312;12355,75;5882,561;12355,75;7805;85,94;5525,237753;1896,25;17658,81;1081,251;14400,43;7544,682404;2699,716;10786,6;8532,588681;4.401;4.401;9084,4;19144,92;3193,152;10080,38;5911,587;3193,152;19.432;8032,605;0;15142,64;602,6763;14661,73;65101,27;7544,682404;5911,587;3193,152;5957,75;98872,5;9.965,44;3193,152;1746,592;1015,573089;6949,16
01.01.2019 09:00;354815,8;1080612;9018,5;4819,75;4313,5;456;13908,5;6358,33;13908,5;8060;84,32;6004,025982;1994,75;17912,64;1136,611;13996,79;8283,949019;3111,783;12043,67;9611,932833;4.513;4.513;10179,14;20620,47;3658,632;10984,25;7418,7895;3658,632;21.607;8772,794;0;16310,99;883,4;15437,2;69313,12;8283,949019;7418,7895;3658,632;6419,25;105060;10.575,87;3658,632;1952,839;1073,275457;7499,857
