Datum;SH_Netze_;HH_NETZ_Hamburg;STW Nordfriesland_Niebüll;STW Nordfriesland Netz_Leck;STW Nordfriesland Netz_Bredstedt;EX Satrup H.N. Clausen_;STW Husum Netz_Husum;Schleswig STW_Schleswig;Stw Eckernförde_Eckernförde;STW Heide _Heide; GETEC net_;Stw Rendsburg_Rendsburg;stw Nortorf_Nortorf;stw Itzehoe_Itzehoe;stw Wilster_Wilster;stw Brunsbüttel_Brunsbüttel;Covestro Brunsbüttel Energie_Covestro Brunsbüttel Energie;Stw Glückstadt_Glückstadt;Stw Elmshorn_Elmshorn;Stw Wedel_Wedel;Stw Barmstedt_Bramstedt;Stw Tornesch netz_Tornesch;Stw Pinneberg_Pinneberg;Stw Quickborn_Quickborn;Stw Norderstedt_Norderstedt;Stw Kaltenkirchen_Kaltenkirchen;STw Bad Bramstedt netz_Bad Bramstedt;e-Werk Sachsenwald Reinbeck_Reinbeck;Stw Geesthacht_Geesthacht;Vers. Betr. Elbe_Lauenburg;Vers. Betr. Elbe_Boizenburg;Vers. Betr. Elbe_Amt Lütau;Vereinigte Stadtwerke Netz OD z.b._Mölln, Ratzeburg, BadOldesloe, Nusse, Reinfeld;Energieversorgung Sylt_Sylt;ews-Netz_Bad Segeberg;TraveNetz_Travemünde;Westnetz (scharbeutz)_Scharbeutz;Stw Neustadt in Holstein_Neustadt;Stw Oldenburg in Holstein_Oldenburg;Versorgungsbetr. Bordesholm_Bordesholm;SW Kiel Netz_Kiel;Stw Schwentinental_Schwentinental;Gemeine Schönkirchen_Schönkirchen;Gemeinde Heikendorf_Heikendorf;Versorgungsbetr. Kronshagen_Kronshagen;Flensburg _Flensburg 
01.01.2020 00:00;381266,80;1082462,00;8739,75;5135,50;4119,25;304,95;12600,25;6054,41;12600,25;6500,00;12600,25;6054,41;2181,57;36659,00;3438,00;20963,00;8386,75;8676,00;16817,59;11350,10;11332,00;11332,00;11350,10;22793,50;5272,87;9327,33;13572,75;5272,87;10172,21;8220,00;8386,75;1147,25;16231,50;52217,00;16120,00;71318,00;5135,00;13572,75;5135,00;5135,00;198310,00;3982,03;2018,97;2018,97;1192,00;54473,39
01.01.2020 01:00;352927,40;1041697,00;8390,50;4812,50;3757,00;170,97;11403,75;5603,28;11403,75;6020,00;11403,75;5603,28;2104,15;34832,00;3164,00;19772,00;8158,00;8130,00;13080,71;10688,99;10668,00;10668,00;10688,99;21060,00;5040,94;8503,52;13119,00;5040,94;9669,34;7675,25;8158,00;1028,25;15422,25;50980,00;15265,00;68022,00;3435,50;13119,00;3435,50;3435,50;197520,00;3723,11;1968,06;1968,06;1090,00;52357,45
01.01.2020 02:00;322709,00;1003625,00;8026,50;4403,75;3471,50;526,17;10950,50;5248,22;10950,50;5660,00;10950,50;5248,22;1921,74;32873,00;2966,00;20348,00;7733,25;7938,00;11950,95;9745,56;9897,00;9897,00;9745,56;19309,00;4786,87;8099,36;12020,75;4786,87;9078,75;7013,00;7733,25;934,00;14505,50;45196,00;14388,00;63710,00;3204,00;12020,75;3204,00;3204,00;197440,00;3625,35;1832,84;1832,84;1030,00;48447,54
01.01.2020 03:00;304107,70;979209,00;7655,50;4261,50;3145,50;770,26;10127,00;4955,36;10127,00;5410,00;10127,00;4955,36;1901,57;31745,00;2819,00;20215,00;7238,25;7350,00;11012,86;8921,29;9275,00;9275,00;8921,29;17884,50;4540,37;7541,18;11248,00;4540,37;8799,04;6521,25;7238,25;868,25;14048,75;39833,00;13736,00;60822,00;3291,25;11248,00;3291,25;3291,25;197605,00;3370,72;1709,32;1709,32;981,00;45629,28
01.01.2020 04:00;296074,70;964153,00;7508,50;4044,50;3171,25;1298,04;9162,00;4872,34;9162,00;5325,00;9162,00;4872,34;1748,14;30632,00;2697,00;19438,00;7058,25;6950,00;10752,04;8367,80;9087,00;9087,00;8367,80;17184,00;4434,05;7017,17;10713,75;4434,05;8423,95;6479,50;7058,25;835,75;13920,75;36676,00;13379,00;59769,00;3202,25;10713,75;3202,25;3202,25;197515,00;3072,91;1612,64;1612,64;939,00;43825,46
01.01.2020 05:00;303376,10;958382,00;7570,50;4132,50;3218,25;618,12;9377,50;5032,00;9377,50;5415,00;9377,50;5032,00;1787,67;30805,00;2743,00;19950,00;7199,25;7135,00;10719,42;8343,07;8983,00;8983,00;8343,07;17653,50;4458,44;7204,75;10883,00;4458,44;8516,08;6522,50;7199,25;881,75;13767,50;37233,00;13635,00;60376,00;3300,00;10883,00;3300,00;3300,00;197380,00;3115,36;1533,39;1533,39;955,00;44071,21
01.01.2020 06:00;308951,40;982647,00;7918,00;4218,00;3413,00;191,80;9249,75;5329,28;9249,75;5570,00;9249,75;5329,28;1812,24;31927,00;2901,00;19489,00;7337,75;7057,00;10950,87;8458,81;9249,00;9249,00;8458,81;18054,75;4474,45;7289,52;11479,25;4474,45;8538,61;6719,25;7337,75;809,25;14227,25;39596,00;13915,00;60344,00;2918,50;11479,25;2918,50;2918,50;197542,50;3313,27;1547,61;1547,61;1005,00;45240,81
01.01.2020 07:00;312753,80;973036,00;8411,00;4508,50;3518,00;697,79;10245,50;5657,64;10245,50;6105,00;10245,50;5657,64;1858,18;33153,00;3211,00;20121,00;7742,25;7454,00;10711,98;8727,76;9361,00;9361,00;8727,76;18664,75;4425,85;7951,57;11786,25;4425,85;8551,65;7125,00;7742,25;861,50;14763,75;40189,00;14370,00;63545,00;4343,75;11786,25;4343,75;4343,75;197302,50;3469,34;1578,84;1578,84;1106,00;47636,40
01.01.2020 08:00;336527,20;980977,00;9050,75;4907,25;3916,50;893,63;12135,00;6033,53;12135,00;6470,00;12135,00;6033,53;1944,92;35206,00;3218,00;20644,00;8238,75;8057,00;11063,42;9317,54;9691,00;9691,00;9317,54;19636,25;4186,00;9084,26;12804,00;4186,00;9042,25;7158,50;8238,75;939,75;15531,25;46246,00;15038,00;66772,00;3968,25;12804,00;3968,25;3968,25;195822,50;3930,74;1791,42;1791,42;1109,00;50977,41
01.01.2020 09:00;371002,70;1032191,00;9490,50;5252,50;4120,25;1119,24;13900,50;6634,62;13900,50;6935,00;13900,50;6634,62;2081,43;37290,00;3461,00;21036,00;9154,00;9439,00;12567,01;10621,46;10215,00;10215,00;10621,46;21516,50;4475,67;10267,56;14789,00;4475,67;9916,72;8063,00;9154,00;1050,00;17019,75;58077,00;16108,00;72325,00;4450,25;14789,00;4450,25;4450,25;198155,00;4147,24;2037,70;2037,70;1186,00;56896,72
