MESS_DATUM_WOZ;FG_LBERG_4466;ZENIT_4466;FG_LBERG_1975;ZENIT_1975;FG_LBERG_4393;ZENIT_4393
01.01.2020 00:00;0;148,04;0;148,91;0;148,23
01.01.2020 01:00;0;148,03;-999;-999;0;148,23
01.01.2020 02:00;0;144,32;-999;-999;0;144,48
01.01.2020 03:00;0;137,95;-999;-999;0;138,06
01.01.2020 04:00;0;130,08;-999;-999;0;130,14
01.01.2020 05:00;0;121,54;-999;-999;0;121,56
01.01.2020 06:00;0;112,86;-999;-999;0;112,83
01.01.2020 07:00;0;104,42;-999;-999;0;104,35
01.01.2020 08:00;0;96,57;-999;-999;0;96,46
01.01.2020 09:00;8;89,63;-999;-999;8;89,49
01.01.2020 10:00;21;83,97;-999;-999;14;83,8
01.01.2020 11:00;31;79,93;-999;-999;22;79,74
01.01.2020 12:00;42;77,82;-999;-999;19;77,62
01.01.2020 13:00;29;77,81;-999;-999;21;77,62
01.01.2020 14:00;13;79,92;-999;-999;10;79,73
01.01.2020 15:00;4;83,95;-999;-999;5;83,79
01.01.2020 16:00;0;89,61;-999;-999;1;89,47
01.01.2020 17:00;0;96,54;-999;-999;0;96,43
01.01.2020 18:00;0;104,39;-999;-999;0;104,32
01.01.2020 19:00;0;112,82;-999;-999;0;112,79
01.01.2020 20:00;0;121,51;-999;-999;0;121,52
01.01.2020 21:00;0;130,04;-999;-999;0;130,1
01.01.2020 22:00;0;137,89;-999;-999;0;138
01.01.2020 23:00;0;144,25;-999;-999;0;144,41
02.01.2020 00:00;0;147,96;-999;-999;0;148,15
02.01.2020 01:00;0;147,95;-999;-999;0;148,15
02.01.2020 02:00;0;144,24;-999;-999;0;144,4
02.01.2020 03:00;0;137,88;-999;-999;0;137,99
02.01.2020 04:00;0;130,02;-999;-999;0;130,08
02.01.2020 05:00;0;121,48;-999;-999;0;121,5
02.01.2020 06:00;0;112,8;-999;-999;0;112,77
02.01.2020 07:00;0;104,35;-999;-999;0;104,29
02.01.2020 08:00;0;96,49;-999;-999;0;96,39
02.01.2020 09:00;1;89,56;-999;-999;1;89,42
02.01.2020 10:00;4;83,89;-999;-999;4;83,72
02.01.2020 11:00;9;79,85;-999;-999;8;79,66
02.01.2020 12:00;11;77,73;-999;-999;10;77,54
02.01.2020 13:00;12;77,73;-999;-999;9;77,53
02.01.2020 14:00;9;79,84;-999;-999;7;79,65
02.01.2020 15:00;3;83,87;-999;-999;4;83,71
02.01.2020 16:00;1;89,53;-999;-999;1;89,4
02.01.2020 17:00;0;96,47;-999;-999;0;96,36
02.01.2020 18:00;0;104,32;-999;-999;0;104,25
02.01.2020 19:00;0;112,76;-999;-999;0;112,73
02.01.2020 20:00;0;121,44;-999;-999;0;121,45
02.01.2020 21:00;0;129,97;-999;-999;0;130,03
