Datum;PV_LBERG_4466;PV_Zenit_4466;PV_LBERG_1975;PV_Zenit_1975;PV_LBERG_4393;PV_Zenit_4393
2019-01-01 00:00:00;0,0;152,04;0,0;148,89;0,0;148,21
2019-01-01 01:00:00;0,0;148,01;0,0;148,88;0,0;148,21
2019-01-01 02:00:00;0,0;144,3;0,0;145,01;0,0;144,46
2019-01-01 03:00:00;0,0;137,93;0,0;138,42;0,0;138,04
2019-01-01 04:00:00;0,0;130,07;0,0;130,33;0,0;130,13
2019-01-01 05:00:00;0,0;121,53;0,0;121,59;0,0;121,54
2019-01-01 06:00:00;0,0;112,84;0,0;112,72;0,0;112,82
2019-01-01 07:00:00;0,0;104,4;0,0;104,1;0,0;104,34
2019-01-01 08:00:00;0,0;96,55;0,0;96,08;0,0;96,45
2019-01-01 09:00:00;4,0;89,61;2,0;89,0;4,0;89,47
2019-01-01 10:00:00;18,0;83,95;20,0;83,21;22,0;83,78
2019-01-01 11:00:00;34,0;79,91;28,0;79,07;37,0;79,72
2019-01-01 12:00:00;54,0;77,8;36,0;76,91;38,0;77,6
2019-01-01 13:00:00;36,0;77,79;41,0;76,91;17,0;77,6
2019-01-01 14:00:00;39,0;79,9;36,0;79,06;18,0;79,71
2019-01-01 15:00:00;11,0;83,93;10,0;83,19;11,0;83,77
2019-01-01 16:00:00;3,0;89,59;3,0;88,98;3,0;89,45
2019-01-01 17:00:00;0,0;96,52;0,0;96,06;0,0;96,42
2019-01-01 18:00:00;0,0;104,37;0,0;104,07;0,0;104,3
2019-01-01 19:00:00;0,0;112,81;0,0;112,68;0,0;112,78
2019-01-01 20:00:00;0,0;121,49;0,0;121,55;0,0;121,5
2019-01-01 21:00:00;0,0;130,02;0,0;130,29;0,0;130,08
2019-01-01 22:00:00;0,0;137,87;0,0;138,36;0,0;137,98
2019-01-01 23:00:00;0,0;144,23;0,0;144,94;0,0;144,39
2019-01-02 00:00:00;0,0;147,94;0,0;148,81;0,0;148,13
2019-01-02 01:00:00;0,0;147,93;0,0;148,8;0,0;148,13
2019-01-02 02:00:00;0,0;144,22;0,0;144,93;0,0;144,38
2019-01-02 03:00:00;0,0;137,86;0,0;138,34;0,0;137,97
2019-01-02 04:00:00;0,0;130,0;0,0;130,27;0,0;130,06
2019-01-02 05:00:00;0,0;121,46;0,0;121,52;0,0;121,48
2019-01-02 06:00:00;0,0;112,78;0,0;112,65;0,0;112,75
2019-01-02 07:00:00;0,0;104,34;0,0;104,04;0,0;104,27
2019-01-02 08:00:00;0,0;96,48;0,0;96,01;0,0;96,37
2019-01-02 09:00:00;6,0;89,54;7,0;88,92;7,0;89,4
2019-01-02 10:00:00;31,0;83,87;34,0;83,13;31,0;83,7
2019-01-02 11:00:00;58,0;79,83;61,0;78,99;55,0;79,64
2019-01-02 12:00:00;73,0;77,71;78,0;76,82;66,0;77,51
2019-01-02 13:00:00;73,0;77,71;78,0;76,82;65,0;77,51
2019-01-02 14:00:00;58,0;79,81;63,0;78,98;51,0;79,63
2019-01-02 15:00:00;32,0;83,85;38,0;83,11;28,0;83,69
2019-01-02 16:00:00;7,0;89,51;8,0;88,9;7,0;89,38
2019-01-02 17:00:00;0,0;96,45;0,0;95,99;0,0;96,34
2019-01-02 18:00:00;0,0;104,3;0,0;104,0;0,0;104,23
2019-01-02 19:00:00;0,0;112,74;0,0;112,61;0,0;112,71
2019-01-02 20:00:00;0,0;121,42;0,0;121,48;0,0;121,43
2019-01-02 21:00:00;0,0;129,95;0,0;130,22;0,0;130,01
2019-01-02 22:00:00;0,0;137,8;0,0;138,29;0,0;137,91
2019-01-02 23:00:00;0,0;144,15;0,0;144,86;0,0;144,31
2019-01-03 00:00:00;0,0;147,85;0,0;148,72;0,0;148,04
2019-01-03 01:00:00;0,0;147,84;0,0;148,71;0,0;148,04
2019-01-03 02:00:00;0,0;144,14;0,0;144,85;0,0;144,3
2019-01-03 03:00:00;0,0;137,78;0,0;138,27;0,0;137,89
2019-01-03 04:00:00;0,0;129,93;0,0;130,19;0,0;129,99
2019-01-03 05:00:00;0,0;121,39;0,0;121,45;0,0;121,41
2019-01-03 06:00:00;0,0;112,71;0,0;112,58;0,0;112,68
2019-01-03 07:00:00;0,0;104,26;0,0;103,96;0,0;104,2
2019-01-03 08:00:00;0,0;96,4;0,0;95,94;0,0;96,3
2019-01-03 09:00:00;7,0;89,45;13,0;88,84;6,0;89,32
2019-01-03 10:00:00;29,0;83,78;45,0;83,04;28,0;83,62
2019-01-03 11:00:00;55,0;79,73;67,0;78,9;53,0;79,55
2019-01-03 12:00:00;58,0;77,62;76,0;76,73;55,0;77,42
2019-01-03 13:00:00;63,0;77,61;62,0;76,73;54,0;77,42
2019-01-03 14:00:00;38,0;79,72;36,0;78,89;37,0;79,54
2019-01-03 15:00:00;18,0;83,76;24,0;83,02;23,0;83,6
2019-01-03 16:00:00;4,0;89,43;4,0;88,82;4,0;89,29
2019-01-03 17:00:00;0,0;96,37;0,0;95,91;0,0;96,26
2019-01-03 18:00:00;0,0;104,22;0,0;103,93;0,0;104,16
2019-01-03 19:00:00;0,0;112,66;0,0;112,54;0,0;112,64
2019-01-03 20:00:00;0,0;121,34;0,0;121,41;0,0;121,36
2019-01-03 21:00:00;0,0;129,87;0,0;130,14;0,0;129,93
2019-01-03 22:00:00;0,0;137,71;0,0;138,2;0,0;137,83
2019-01-03 23:00:00;0,0;144,06;0,0;144,77;0,0;144,22
2019-01-04 00:00:00;0,0;147,75;0,0;148,62;0,0;147,94
2019-01-04 01:00:00;0,0;147,75;0,0;148,62;0,0;147,94
