MESS_DATUM_WOZ;FG_LBERG_4466;ZENIT_4466;FG_LBERG_1975;ZENIT_1975;FG_LBERG_4393;ZENIT_4393
2019.01.01 00:00;0;152,04;0;148,89;0;148,21
2019.01.01 01:00;0;148,01;0;148,88;0;148,21
2019.01.01 02:00;0;144,3;0;145,01;0;144,46
2019.01.01 03:00;0;137,93;0;138,42;0;138,04
2019.01.01 04:00;0;130,07;0;130,33;0;130,13
2019.01.01 05:00;0;121,53;0;121,59;0;121,54
2019.01.01 06:00;0;112,84;0;112,72;0;112,82
2019.01.01 07:00;0;104,4;0;104,1;0;104,34
2019.01.01 08:00;0;96,55;0;96,08;0;96,45
2019.01.01 09:00;4;89,61;2;89;4;89,47
2019.01.01 10:00;18;83,95;20;83,21;22;83,78
2019.01.01 11:00;34;79,91;28;79,07;37;79,72
2019.01.01 12:00;54;77,8;36;76,91;38;77,6
2019.01.01 13:00;36;77,79;41;76,91;17;77,6
2019.01.01 14:00;39;79,9;36;79,06;18;79,71
2019.01.01 15:00;11;83,93;10;83,19;11;83,77
2019.01.01 16:00;3;89,59;3;88,98;3;89,45
2019.01.01 17:00;0;96,52;0;96,06;0;96,42
2019.01.01 18:00;0;104,37;0;104,07;0;104,3
2019.01.01 19:00;0;112,81;0;112,68;0;112,78
2019.01.01 20:00;0;121,49;0;121,55;0;121,5
2019.01.01 21:00;0;130,02;0;130,29;0;130,08
2019.01.01 22:00;0;137,87;0;138,36;0;137,98
2019.01.01 23:00;0;144,23;0;144,94;0;144,39
2019.01.02 00:00;0;147,94;0;148,81;0;148,13
2019.01.02 01:00;0;147,93;0;148,8;0;148,13
2019.01.02 02:00;0;144,22;0;144,93;0;144,38
2019.01.02 03:00;0;137,86;0;138,34;0;137,97
2019.01.02 04:00;0;130;0;130,27;0;130,06
2019.01.02 05:00;0;121,46;0;121,52;0;121,48
2019.01.02 06:00;0;112,78;0;112,65;0;112,75
2019.01.02 07:00;0;104,34;0;104,04;0;104,27
2019.01.02 08:00;0;96,48;0;96,01;0;96,37
2019.01.02 09:00;6;89,54;7;88,92;7;89,4
2019.01.02 10:00;31;83,87;34;83,13;31;83,7
2019.01.02 11:00;58;79,83;61;78,99;55;79,64
2019.01.02 12:00;73;77,71;78;76,82;66;77,51
2019.01.02 13:00;73;77,71;78;76,82;65;77,51
2019.01.02 14:00;58;79,81;63;78,98;51;79,63
2019.01.02 15:00;32;83,85;38;83,11;28;83,69
2019.01.02 16:00;7;89,51;8;88,9;7;89,38
2019.01.02 17:00;0;96,45;0;95,99;0;96,34
2019.01.02 18:00;0;104,3;0;104;0;104,23
2019.01.02 19:00;0;112,74;0;112,61;0;112,71
2019.01.02 20:00;0;121,42;0;121,48;0;121,43
2019.01.02 21:00;0;129,95;0;130,22;0;130,01
2019.01.02 22:00;0;137,8;0;138,29;0;137,91
2019.01.02 23:00;0;144,15;0;144,86;0;144,31
2019.01.03 00:00;0;147,85;0;148,72;0;148,04
2019.01.03 01:00;0;147,84;0;148,71;0;148,04
2019.01.03 02:00;0;144,14;0;144,85;0;144,3
2019.01.03 03:00;0;137,78;0;138,27;0;137,89
2019.01.03 04:00;0;129,93;0;130,19;0;129,99
2019.01.03 05:00;0;121,39;0;121,45;0;121,41
2019.01.03 06:00;0;112,71;0;112,58;0;112,68
2019.01.03 07:00;0;104,26;0;103,96;0;104,2
2019.01.03 08:00;0;96,4;0;95,94;0;96,3
2019.01.03 09:00;7;89,45;13;88,84;6;89,32
2019.01.03 10:00;29;83,78;45;83,04;28;83,62
2019.01.03 11:00;55;79,73;67;78,9;53;79,55
2019.01.03 12:00;58;77,62;76;76,73;55;77,42
2019.01.03 13:00;63;77,61;62;76,73;54;77,42
2019.01.03 14:00;38;79,72;36;78,89;37;79,54
2019.01.03 15:00;18;83,76;24;83,02;23;83,6
2019.01.03 16:00;4;89,43;4;88,82;4;89,29
2019.01.03 17:00;0;96,37;0;95,91;0;96,26
2019.01.03 18:00;0;104,22;0;103,93;0;104,16
2019.01.03 19:00;0;112,66;0;112,54;0;112,64
2019.01.03 20:00;0;121,34;0;121,41;0;121,36
2019.01.03 21:00;0;129,87;0;130,14;0;129,93
2019.01.03 22:00;0;137,71;0;138,2;0;137,83
2019.01.03 23:00;0;144,06;0;144,77;0;144,22
2019.01.04 00:00;0;147,75;0;148,62;0;147,94
2019.01.04 01:00;0;147,75;0;148,62;0;147,94
2019.01.04 02:00;0;144,05;0;144,76;0;144,21
2019.01.04 03:00;0;137,7;0;138,19;0;137,81
2019.01.04 04:00;0;129,85;0;130,12;0;129,91
2019.01.04 05:00;0;121,32;0;121,38;0;121,33
2019.01.04 06:00;0;112,63;0;112,5;0;112,6
2019.01.04 07:00;0;104,18;0;103,88;0;104,12
2019.01.04 08:00;0;96,31;0;95,85;0;96,21
2019.01.04 09:00;1;89,37;2;88,76;0;89,23
2019.01.04 10:00;8;83,69;5;82,95;3;83,52
2019.01.04 11:00;9;79,64;7;78,8;10;79,45
2019.01.04 12:00;18;77,52;17;76,63;12;77,32
2019.01.04 13:00;25;77,51;12;76,63;14;77,32
2019.01.04 14:00;17;79,62;11;78,79;12;79,44
2019.01.04 15:00;6;83,67;12;82,93;10;83,5
2019.01.04 16:00;2;89,34;3;88,73;2;89,2
2019.01.04 17:00;0;96,28;0;95,82;0;96,18
2019.01.04 18:00;0;104,14;0;103,84;0;104,07
2019.01.04 19:00;0;112,58;0;112,46;0;112,56
2019.01.04 20:00;0;121,26;0;121,33;0;121,28
2019.01.04 21:00;0;129,79;0;130,06;0;129,85
2019.01.04 22:00;0;137,63;0;138,12;0;137,74
2019.01.04 23:00;0;143,96;0;144,67;0;144,12
2019.01.05 00:00;0;147,65;0;148,52;0;147,84
2019.01.05 01:00;0;147,64;0;148,51;0;147,84
2019.01.05 02:00;0;143,95;0;144,66;0;144,11
2019.01.05 03:00;0;137,61;0;138,1;0;137,72
2019.01.05 04:00;0;129,77;0;130,03;0;129,83
2019.01.05 05:00;0;121,23;0;121,29;0;121,25
2019.01.05 06:00;0;112,55;0;112,42;0;112,52
2019.01.05 07:00;0;104,1;0;103,8;0;104,03
2019.01.05 08:00;0;96,22;0;95,76;0;96,12
2019.01.05 09:00;3;89,27;1;88,66;2;89,13
2019.01.05 10:00;16;83,59;9;82,85;8;83,42
2019.01.05 11:00;28;79,53;13;78,7;23;79,35
2019.01.05 12:00;45;77,41;19;76,52;29;77,21
2019.01.05 13:00;41;77,41;22;76,52;38;77,21
2019.01.05 14:00;32;79,52;20;78,68;39;79,33
2019.01.05 15:00;32;83,56;7;82,83;25;83,4
2019.01.05 16:00;5;89,24;3;88,63;4;89,1
2019.01.05 17:00;0;96,19;0;95,73;0;96,08
2019.01.05 18:00;0;104,05;0;103,76;0;103,99
2019.01.05 19:00;0;112,5;0;112,37;0;112,47
2019.01.05 20:00;0;121,18;0;121,24;0;121,19
2019.01.05 21:00;0;129,7;0;129,97;0;129,76
2019.01.05 22:00;0;137,53;0;138,02;0;137,64
2019.01.05 23:00;0;143,86;0;144,57;0;144,02
2019.01.06 00:00;0;147,54;0;148,41;0;147,73
2019.01.06 01:00;0;147,53;0;148,4;0;147,73
2019.01.06 02:00;0;143,85;0;144,56;0;144,01
2019.01.06 03:00;0;137,51;0;138;0;137,62
2019.01.06 04:00;0;129,68;0;129,94;0;129,74
2019.01.06 05:00;0;121,15;0;121,21;0;121,16
2019.01.06 06:00;0;112,46;0;112,33;0;112,43
2019.01.06 07:00;0;104,01;0;103,71;0;103,94
2019.01.06 08:00;0;96,13;0;95,67;0;96,02
2019.01.06 09:00;2;89,17;1;88,56;2;89,03
2019.01.06 10:00;5;83,48;6;82,74;8;83,31
2019.01.06 11:00;11;79,42;12;78,58;26;79,23
2019.01.06 12:00;20;77,29;17;76,41;20;77,1
