ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor
PR1_NFL_002;Nordfriesland;Nordfriesland;Ellhöft, Süderlügum;Ellhöft, Süderlügum;219,3;171,4
PR1_NFL_003;Nordfriesland;Nordfriesland;Ellhöft, Westre;Ellhöft, Westre;238,9;186,5
PR1_NFL_006;Nordfriesland;Nordfriesland;Ellhöft, Süderlügum;Süderlügum;49,2;31,0
PR1_NFL_009;Nordfriesland;Nordfriesland;Friedrich-Wilhelm-Lübke-Koog, Klanxbüll;Friedrich-Wilhelm-Lübke-Koog,Klanxbüll;41,2;41,2
PR1_NFL_014;Nordfriesland;Nordfriesland;Friedrich-Wilhelm-Lübke-Koog, Klanxbüll;Friedrich-Wilhelm-Lübke-Koog,Klanxbüll;42,3;42,3
PR1_NFL_017;Nordfriesland;-;Karlum, Lexgaard, Westre;-;52,5;-
PR1_NFL_018;Nordfriesland;Nordfriesland;Emmelsbüll-Horsbüll;Emmelsbüll-Horsbüll;18,8;15,2
PR1_NFL_019;Nordfriesland;Nordfriesland;Karlum;Karlum;40,2;34,7
PR1_NFL_022;Nordfriesland;-;Karlum, Lexgaard;-;19,4;-
PR1_NFL_024;Nordfriesland;-;Emmelsbüll-Horsbüll;-;36,6;-
PR1_NFL_025;Nordfriesland;Nordfriesland;Lexgaard, Tinningstedt;Lexgaard, Tinningstedt;33,7;33,7
PR1_NFL_026;Nordfriesland;Nordfriesland;Braderup, Klixbüll, Lexgaard, Tinningstedt;Braderup, Klixbüll, Lexgaard,Tinningstedt;170,8;149,1
PR1_NFL_028;Nordfriesland;Nordfriesland;Emmelsbüll-Horsbüll, Niebüll;Emmelsbüll-Horsbüll, Niebüll;147,2;144,2
PR1_NFL_029;Nordfriesland;Nordfriesland;Achtrup, Karlum, Ladelund;Achtrup, Karlum;125,2;64,1
PR1_NFL_031;Nordfriesland;Nordfriesland;Bosbüll, Klixbüll;Bosbüll, Klixbüll;177,1;33,8
PR1_NFL_032;Nordfriesland;Nordfriesland;Niebüll;Niebüll;69,6;54,0
PR1_NFL_033;Nordfriesland;-;Achtrup;-;31,7;-
PR1_NFL_035;Nordfriesland;Nordfriesland;Galmsbüll;Galmsbüll;305,2;171,8
PR1_NFL_036;Nordfriesland;Nordfriesland;Achtrup;Achtrup;48,8;48,8
PR1_NFL_037;Nordfriesland;-;Galmsbüll;-;29,9;-
PR1_NFL_038;Nordfriesland;Nordfriesland;Achtrup, Holt, Schafflund, Sprakebüll;Achtrup, Holt, Schafflund, Sprakebüll;752,2;514,3
PR1_NFL_039;Nordfriesland;Nordfriesland;Galmsbüll;Galmsbüll;172,0;116,0
PR1_NFL_040;Nordfriesland;Nordfriesland;Klixbüll, Leck;Klixbüll, Leck;45,5;32,6
PR1_NFL_043;Nordfriesland;Nordfriesland;Klixbüll, Risum-Lindholm;Klixbüll, Risum-Lindholm;310,6;303,4
PR1_NFL_044;Nordfriesland;-;Leck, Sprakebüll, Stadum;-;92,9;-
PR1_NFL_045;Nordfriesland;Nordfriesland;Galmsbüll;Galmsbüll;71,9;28,5
PR1_NFL_046;Nordfriesland;Nordfriesland;Leck;Leck;127,9;97,7
PR1_NFL_047;Nordfriesland;Nordfriesland;Dagebüll, Galmsbüll;Galmsbüll;215,4;29,7
PR1_NFL_048;Nordfriesland;Nordfriesland;Sprakebüll;Sprakebüll;50,2;50,2
PR1_NFL_049;Nordfriesland;Nordfriesland;Risum-Lindholm, Stedesand;Stedesand;41,4;20,4
