ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor
PR3_OHS_001;Ostholstein;Ostholstein;Fehmarn;Fehmarn;601,1;360,5
PR3_OHS_002;Ostholstein;-;Fehmarn;-;20,5;-
PR3_OHS_003;Ostholstein;-;Fehmarn;-;219,0;-
PR3_OHS_005;Ostholstein;Ostholstein;Fehmarn;Fehmarn;203,2;98,1
PR3_OHS_007;Ostholstein;-;Fehmarn;-;144,6;-
PR3_OHS_008;Ostholstein;-;Fehmarn;-;141,9;-
PR3_OHS_010;Ostholstein;Ostholstein;Gremersdorf, Heiligenhafen;Heiligenhafen;93,3;19,9
PR3_OHS_011;Ostholstein;-;Gremersdorf, Großenbrode, Heiligenhafen;-;45,0;-
PR3_OHS_012;Ostholstein;Ostholstein;Gremersdorf, Großenbrode, Neukirchen;Gremersdorf, Großenbrode,Neukirchen;218,2;181,7
PR3_OHS_013;Ostholstein;-;Neukirchen;-;15,9;-
PR3_OHS_014;Ostholstein;-;Gremersdorf;-;68,2;-
PR3_OHS_015;Ostholstein;Ostholstein;Gremersdorf;Gremersdorf;84,7;34,7
PR3_OHS_017;Ostholstein;-;Gremersdorf;-;23,1;-
PR3_OHS_018;Ostholstein;-;Neukirchen;-;79,9;-
PR3_OHS_019;Ostholstein;-;Heringsdorf, Neukirchen;-;22,6;-
PR3_OHS_020;Ostholstein;-;Oldenburg in Holstein;-;42,0;-
PR3_OHS_021;Ostholstein;Ostholstein;Göhl, Gremersdorf, Heringsdorf;Göhl, Gremersdorf;167,7;61,8
PR3_OHS_022;Ostholstein;Ostholstein;Heringsdorf, Neukirchen;Heringsdorf, Neukirchen;114,6;44,6
PR3_OHS_023;Ostholstein;-;Wangels;-;24,8;-
PR3_OHS_024;Ostholstein;-;Wangels;-;67,7;-
PR3_OHS_025;Ostholstein;Ostholstein;Wangels;Wangels;96,7;96,7
PR3_OHS_026;Ostholstein;-;Oldenburg in Holstein, Wangels;-;54,0;-
PR3_OHS_027;Ostholstein;Ostholstein;Wangels;Wangels;22,3;22,3
PR3_OHS_028;Ostholstein;Ostholstein;Göhl, Heringsdorf;Göhl, Heringsdorf;384,2;306,5
PR3_OHS_029;Ostholstein;Ostholstein;Wangels;Wangels;71,7;36,9
PR3_OHS_030;Ostholstein;-;Wangels;-;47,6;-
PR3_OHS_033;Ostholstein;Ostholstein;Harmsdorf, Lensahn, Oldenburg in Holstein;Harmsdorf, Lensahn;180,8;78,5
PR3_OHS_035;Ostholstein;Ostholstein;Damlos;Damlos;22,6;22,6
PR3_OHS_037;Ostholstein;Ostholstein;Grömitz, Kabelhorst, Riepsdorf;Grömitz, Kabelhorst, Riepsdorf;153,0;121,5
PR3_OHS_040;Ostholstein;Ostholstein;Grömitz, Riepsdorf;Grömitz, Riepsdorf;108,4;95,0
PR3_OHS_041;Ostholstein;Ostholstein;Grömitz, Riepsdorf;Grömitz, Riepsdorf;85,8;34,8
PR3_OHS_044;Ostholstein;-;Beschendorf;-;16,0;-
PR3_OHS_045;Ostholstein;-;Lensahn;-;58,0;-
PR3_OHS_047;Ostholstein;Ostholstein;Schönwalde am Bungsberg;Schönwalde am Bungsberg;57,2;57,2
PR3_OHS_048;Ostholstein;-;Beschendorf, Grömitz, Manhagen,Schashagen;-;98,5;-
PR3_OHS_049;Ostholstein;Ostholstein;Altenkrempe, Schönwalde am Bungsberg;Altenkrempe, Schönwalde amBungsberg;41,8;34,9
PR3_OHS_050;Ostholstein;Ostholstein;Grömitz, Schashagen;Schashagen;142,4;97,9
PR3_OHS_051;Ostholstein;-;Altenkrempe;-;48,1;-
PR3_OHS_052;Ostholstein;Ostholstein;Grömitz, Schashagen;Grömitz, Schashagen;178,0;161,3
PR3_OHS_053;Ostholstein;-;Altenkrempe;-;25,5;-
PR3_OHS_054;Ostholstein;-;Süsel;-;50,4;-
PR3_OHS_055;Ostholstein;-;Süsel;-;49,0;-
PR3_OHS_056;Ostholstein;-;Bosau;-;86,3;-
PR3_OHS_057;Ostholstein;Ostholstein;Bosau;Bosau;252,2;43,3
PR3_OHS_059;Ostholstein;Ostholstein;Ahrensbök, Bosau, Glasau, Süsel;Ahrensbök, Bosau, Glasau;410,2;99,4
PR3_OHS_060;Ostholstein;-;Bosau, Glasau;-;273,7;-
PR3_OHS_061;Ostholstein;-;Bosau;-;106,1;-
PR3_OHS_062;Ostholstein;Ostholstein;Scharbeutz, Süsel;Scharbeutz, Süsel;339,4;298,6
PR3_OHS_063;Ostholstein;-;Ahrensbök, Scharbeutz, Süsel;-;73,0;-
PR3_OHS_064;Ostholstein;-;Ahrensbök;-;84,7;-
PR3_OHS_065;Ostholstein;-;Ahrensbök, Scharbeutz;-;164,3;-
PR3_OHS_066;Ostholstein;-;Ahrensbök;-;21,0;-
PR3_OHS_067;Ostholstein;-;Ahrensbök;-;33,4;-
PR3_OHS_068;Ostholstein;Ostholstein;Scharbeutz;Scharbeutz;37,7;35,6
PR3_OHS_069;Ostholstein;Ostholstein;Ahrensbök, Scharbeutz;Ahrensbök, Scharbeutz;117,4;116,4
PR3_OHS_070;Ostholstein;-;Ahrensbök;-;18,4;-
PR3_OHS_071;Ostholstein;-;Ahrensbök;-;58,4;-
PR3_OHS_072;Ostholstein;Ostholstein;Ratekau, Timmendorfer Strand;Ratekau;108,4;18,7
PR3_OHS_074;Ostholstein;Ostholstein;Ratekau, Scharbeutz, Stockelsdorf;Ratekau, Scharbeutz;99,7;29,7
PR3_OHS_075;Ostholstein;-;Ahrensbök;-;32,8;-
PR3_OHS_076;Ostholstein;Ostholstein;Ahrensbök;Ahrensbök;113,5;94,8
PR3_OHS_077;Ostholstein;Ostholstein;Ratekau;Ratekau;35,8;31,0
PR3_OHS_078;Ostholstein;-;Stockelsdorf;-;79,7;-
PR3_OHS_079;Ostholstein;-;Stockelsdorf;-;37,9;-
PR3_OHS_080;Ostholstein;Ostholstein;Stockelsdorf;Stockelsdorf;37,6;37,6
PR3_OHS_081;Ostholstein;Ostholstein;Stockelsdorf;Stockelsdorf;85,8;18,3
PR3_OHS_301;Ostholstein;-;Großenbrode;-;60,8;-
PR3_OHS_302;Ostholstein;-;Heringsdorf;-;78,8;-
PR3_OHS_304;Ostholstein;-;Dahme, Grube;-;27,3;-
PR3_OHS_305;Ostholstein;-;Neustadt in Holst., Schashagen;-;188,6;-
PR3_OHS_306;Ostholstein;-;Bad Schwartau, Stockelsdorf;-;18,7;-
PR3_OHS_401;Ostholstein;-;Ahrensbök, Wensin;-;37,1;-
PR3_OHS_402;Ostholstein;-;Ahrensbök;-;13,5;-
PR3_OHS_403;Ostholstein;-;Altenkrempe;-;172,0;-
PR3_OHS_405;Ostholstein;-;Grömitz;-;232,2;-
