ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor
PR3_PIN_001;Pinneberg;Pinneberg;Bokel;Bokel;44,3;21,8
PR3_PIN_002;Pinneberg;-;Bokel;-;30,5;-
PR3_PIN_003;Pinneberg;-;Bokel, Brande-Hörnerkirchen, Lutzhorn;-;176,6;-
PR3_PIN_004;Pinneberg;-;Heede;-;22,9;-
PR3_PIN_005;Pinneberg;Pinneberg;Raa-Besenbek;Raa-Besenbek;54,0;54,0
PR3_PIN_006;Pinneberg;Pinneberg;Raa-Besenbek;Raa-Besenbek;47,5;47,5
PR3_PIN_007;Pinneberg;-;Seester;-;65,2;-
PR3_PIN_008;Pinneberg;-;Groß Nordende, Neuendeich, Seester,Uetersen;-;221,1;-
PR3_PIN_009;Pinneberg;Pinneberg;Groß Nordende, Neuendeich, Uetersen;Neuendeich, Uetersen;115,7;57,9
PR3_PIN_301;Pinneberg;-;Raa-Besenbek;-;116,6;-
PR3_PIN_302;Pinneberg;-;Haselau, Haseldorf;-;121,0;-
PR3_PIN_303;Pinneberg;-;Haseldorf;-;24,2;-
PR3_PIN_304;Pinneberg;-;Haseldorf, Heist, Hetlingen, Holm;-;197,1;-
PR3_PIN_401;Pinneberg;-;Seestermühe;-;59,3;-
PR3_PIN_402;Pinneberg;-;Seestermühe;-;53,9;-
PR3_PIN_501;Pinneberg;-;Moorrege;-;20,5;-
