ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor;WKAPot;WKAVor;Coords Pot;Coords Vor;Wetter-ID_Head;besetze Fläche;freieVor in ha
PR3_DIT_002;Dithmarschen;-;Lehe,Lunden,Schlichting,St.Annen;-;501,1;0,0;-;-;[54.3349245, 9.0542011];[0, 0];4919;0,0;0,0
PR3_DIT_003;Dithmarschen;-;Kleve,Schlichting;-;380,1;0,0;-;-;[54.3069263, 9.1078992];[0, 0];788;0,0;0,0
PR3_DIT_005;Dithmarschen;-;Groven,Krempel,Rehm-Flehde-Bargen;-;135,8;0,0;-;-;[54.3092942, 9.0223363];[0, 0];788;0,0;0,0
PR3_DIT_006;Dithmarschen;-;Schlichting;-;78,5;0,0;-;-;[54.3187649, 9.0910285];[0, 0];788;0,0;0,0
PR3_DIT_007;Dithmarschen;Dithmarschen;BergewÃ¶hrden,Delve,Hennstedt,Hollingstedt,SÃ¼derstapel;Hennstedt,Hollingstedt;716,9;115,1;WKA in Betrieb;WKA in Betrieb;[54.299314, 9.2133486];[54.2880167, 9.1964827];2303;131,712;-16,611999999999995
PR3_DIT_008;Dithmarschen;Dithmarschen;Groven,Hemme;Groven,Hemme;98,2;98,2;WKA in Betrieb;WKA in Betrieb;[54.2976317, 9.0039362];[54.2976317, 9.0039362];788;68,91;29,290000000000006
PR3_DIT_009;Dithmarschen;Dithmarschen;Hemme,Karolinenkoog;Karolinenkoog;101,6;40,9;-;-;[54.2825189, 8.9882233];[54.2833, 8.96667];788;0,0;40,9
PR3_DIT_010;Dithmarschen;-;Tielenhemme;-;15,3;0,0;-;-;[54.2766302, 9.3879984];[0, 0];2303;0,0;0,0
PR3_DIT_011;Dithmarschen;-;Pahlen;-;77,6;0,0;-;-;[54.2675609, 9.2957524];[0, 0];2303;0,0;0,0
PR3_DIT_012;Dithmarschen;-;Tielenhemme;-;113,3;0,0;-;-;[54.2766302, 9.3879984];[0, 0];2303;0,0;0,0
PR3_DIT_013;Dithmarschen;Dithmarschen;Hemme,Stelle-Wittenwurth;Hemme;111,9;92,3;-;-;[54.2709353, 9.0327636];[54.2817377, 9.0097766];788;0,0;92,3
PR3_DIT_015;Dithmarschen;Dithmarschen;Hemme,Karolinenkoog,Neuenkirchen,StrÃ¼bbel;Hemme,Karolinenkoog,StrÃ¼bbel;283,1;182,5;-;-;[54.2657541, 8.9838569];[54.2755088, 8.9825467];788;0,0;182,5
PR3_DIT_017;Dithmarschen;-;Dellstedt;-;56,4;0,0;-;-;[54.2369313, 9.3704291];[0, 0];2303;0,0;0,0
PR3_DIT_018;Dithmarschen;Dithmarschen;Hemme,Neuenkirchen,Stelle-Wittenwurth,StrÃ¼bbel;Hemme,Neuenkirchen,Stelle-Wittenwurth;288,2;248,0;-;-;[54.2599623, 9.0061271];[54.2594535, 9.0177716];788;0,0;248,0
PR3_DIT_019;Dithmarschen;-;Neuenkirchen;-;48,6;0,0;-;-;[54.23649, 8.9877874];[0, 0];788;0,0;0,0
PR3_DIT_020;Dithmarschen;Dithmarschen;Norderheistedt,Ostrohe,SÃ¼derheistedt,Weddingstedt,Wiemerstedt;Norderheistedt,SÃ¼derheistedt,Wiemerstedt;372,8;87,9;-;-;[54.2399822, 9.1236595];[54.2502742, 9.1334115];1200;0,0;87,9
PR3_DIT_021;Dithmarschen;Dithmarschen;Hemme,Stelle-Wittenwurth,Weddingstedt;Hemme,Stelle-Wittenwurth;166,0;86,0;-;-;[54.2587646, 9.0517061];[54.2709353, 9.0327636];788;0,0;86,0
