modell;Ein_ms;Nenn_ms;Abs_ms;P_kW
Enercon E-70 E4/2000;2,5;13,5;34,0;2000,0
Enercon E-70 E4/2300;2,5;15,0;34,0;2300,0
Enercon E-70 E4/2600;2,5;15,0;34,0;2600,0
Vestas V112/3075;3,0;12,0;25,0;3075,0
Vestas V112/3300;3,0;12,5;25,0;3300,0
Vestas V112/3450;3,0;13,0;25,0;3450,0
Repower 3.2M114;3,0;12,0;22,0;3200,0
Enercon E-82/2000;2,0;12,5;34,0;2000,0
Enercon E-82/2300;3,0;12,0;34,0;2300,0
Enercon E-82/2350;2,0;14,0;34,0;2350,0
Enercon E-82/3000;3,0;16,0;34,0;3000,0
Enercon E-115/3000;2,0;11,5;25,0;3000,0
Enercon E-115/3200;2,5;12,0;34,0;3200,0
Enercon E-115/4200;2,5;13,2;34,0;4200,0
Enercon E-101/3050;2,0;13,0;25,0;3050,0
Senvion 3.4 M104;3,5;13,5;25,0;3400,0
Senvion 3.4 M114;3,0;12,0;22,0;3400,0
Senvion 3.4 M122;3,0;12,5;22,0;3400,0
Senvion 3.4 M140;3,0;11,0;22,0;3400,0
Nordex N117/2400;3,0;11,0;20,0;2400,0
Nordex N117/3000;3,0;12,0;25,0;3000,0
Nordex N117/3600;3,0;12,0;25,0;3600,0
REpower MM 82;3,5;14,5;25,0;2050,0
Enercon E-66/1500;2,5;13,0;25,0;1500,0
Enercon E-66/1800;2,5;12,5;34,0;1800,0
Enercon E-66/2000;2,5;14,0;34,0;2000,0
Vestas V 66/1650;4,0;15,0;25,0;1650,0
Vestas V 66/2000;4,0;17,0;25,0;2000,0
Vestas V136/3450;3,0;12,0;22,5;3450,0
Vestas V136/4000;3,0;12,0;25,0;4000,0
Vestas V136/4200;3,0;12,0;25,0;4200,0
REpower 3.4M104;3,5;13,5;25,0;3400,0
Senvion 3.2M114;3,0;12,0;22,0;3200,0
Senvion 3.2M122;3,0;12,0;20,0;3200,0
Vestas V80;4,0;15,0;25,0;2000,0
Siemens SWT 3.0-113;4,0;12,5;25,0;3000,0
Enercon E-138/4200;2,5;10,8;34,0;4200,0
NEG Micon NM 64C/1500;4,0;14,0;25,0;1500,0
NEG Micon NM 72C/1500;3,0;13,0;20,0;1500,0
Enercon E-126/3500;2,0;14,0;30,0;3500,0
Enercon E-126/4000;2,0;14,5;30,0;4000,0
Enercon E-126/7500;3,0;16,5;34,0;7580,0
Vestas V150/4200;3,0;12,0;22,5;4200,0
Vestas V150/5600;3,0;12,0;25,0;5600,0
Tacke TW 600;3,0;14,5;25,0;600,0
